repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,IssueCommentEvent,DeleteEvent,IssuesEvent,ForkEvent,total
LFDT-Lockness/round-based,2024-12,7,3,1,3,1,3,1,0,0,19
LFDT-Lockness/round-based,2025-01,0,2,0,2,0,1,0,0,0,5
LFDT-Lockness/round-based,2025-05,8,0,1,0,1,0,0,0,0,10
LFDT-Lockness/round-based,2025-06,4,1,0,0,0,0,0,0,0,5
LFDT-Lockness/round-based,2025-07,0,3,0,2,0,0,0,0,0,5
LFDT-Lockness/round-based,2025-09,1,0,0,0,1,1,0,0,0,3
LFDT-Lockness/round-based,2025-12,2,0,0,0,1,0,0,0,0,3
LFDT-Lockness/round-based,2026-04,0,2,0,0,0,0,0,0,0,2
LFDT-Lockness/round-based,2026-05,1,0,0,0,0,0,0,0,0,1
LFDT-Lockness/givre,2024-10,9,1,7,1,5,1,4,0,0,28
LFDT-Lockness/givre,2024-11,4,2,4,2,4,0,2,0,0,18
LFDT-Lockness/givre,2024-12,10,2,3,1,2,1,2,0,0,21
LFDT-Lockness/givre,2025-05,0,0,0,0,0,1,0,0,0,1
LFDT-Lockness/givre,2026-03,0,0,1,0,1,0,0,0,0,2
LFDT-Lockness/givre,2026-05,1,0,0,0,1,0,1,0,0,3
LFDT-Lockness/fast-paillier,2024-09,2,0,1,0,1,0,0,0,0,4
LFDT-Lockness/fast-paillier,2024-10,2,0,4,0,2,0,2,0,0,10
LFDT-Lockness/fast-paillier,2025-04,5,0,3,0,2,2,1,1,0,14
LFDT-Lockness/fast-paillier,2025-05,0,0,0,0,0,0,0,1,0,1
LFDT-Lockness/fast-paillier,2025-10,0,5,0,7,0,2,0,0,0,14
LFDT-Lockness/fast-paillier,2025-11,7,1,1,5,2,1,1,0,0,18
LFDT-Lockness/fast-paillier,2026-05,0,0,0,0,1,1,1,0,0,3
LFDT-Lockness/udigest,2024-09,3,0,2,0,2,0,1,0,0,8
LFDT-Lockness/udigest,2024-10,1,0,4,0,2,0,2,0,0,9
LFDT-Lockness/udigest,2025-09,5,0,1,0,3,1,0,1,0,11
LFDT-Lockness/udigest,2025-10,4,0,0,0,0,0,0,1,0,5
LFDT-Lockness/udigest,2025-12,1,0,1,0,1,0,1,0,0,4
LFDT-Lockness/udigest,2026-02,3,0,0,0,0,0,0,0,0,3
LFDT-Lockness/udigest,2026-04,0,0,0,1,0,0,0,0,0,1
LFDT-Lockness/udigest,2026-05,0,0,0,0,1,0,0,0,0,1
LFDT-Lockness/generic-ecies,2025-01,7,12,1,10,1,3,0,0,0,34
LFDT-Lockness/generic-ecies,2026-04,1,1,1,1,1,0,0,0,0,5
LFDT-Lockness/generic-ecies,2026-05,0,0,0,0,1,0,0,0,0,1
LFDT-Lockness/governance,2024-08,0,0,1,0,0,0,0,0,1,2
LFDT-Lockness/governance,2024-09,3,0,2,1,0,0,2,0,0,8
LFDT-Lockness/governance,2024-10,2,0,5,0,3,0,2,0,0,12
LFDT-Lockness/governance,2024-11,0,0,0,1,0,0,0,0,0,1
LFDT-Lockness/governance,2025-07,1,0,0,0,1,0,1,0,0,3
LFDT-Lockness/governance,2026-03,1,0,0,0,0,0,0,0,0,1
LFDT-Lockness/slip-10,2024-09,10,4,1,3,1,2,0,0,0,21
LFDT-Lockness/slip-10,2024-10,3,0,0,0,0,1,0,0,0,4
LFDT-Lockness/stark-curve,2024-09,2,0,2,0,2,0,1,0,0,7
LFDT-Lockness/stark-curve,2024-10,2,0,4,0,2,0,2,0,0,10
LFDT-Lockness/stark-curve,2024-12,2,0,2,0,1,0,1,0,0,6
LFDT-Lockness/stark-curve,2026-05,0,0,0,0,1,0,1,0,0,2
LFDT-Lockness/paillier-zk,2024-09,3,0,2,0,2,2,1,0,0,10
LFDT-Lockness/paillier-zk,2024-10,3,0,4,0,1,0,2,0,0,10
LFDT-Lockness/paillier-zk,2025-11,0,0,0,0,1,0,0,0,0,1
LFDT-Lockness/rand_hash,2024-09,3,0,1,0,2,0,1,0,0,7
LFDT-Lockness/rand_hash,2024-10,3,0,4,0,1,0,2,0,0,10
LFDT-Lockness/rand_hash,2026-05,0,0,1,0,1,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-05,0,2,1,2,0,0,0,0,1,6
LF-Decentralized-Trust/governance,2025-08,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-09,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-12,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2026-02,0,0,0,0,0,1,0,0,0,1
LFDT-Lockness/.github,2025-08,1,0,4,0,2,0,1,0,0,8
hyperledger/hyperledger-hip,2024-06,0,2,1,2,0,3,0,0,0,8
LFDT-Lockness/tecdh,2026-03,0,0,0,1,0,0,0,0,0,1
LFDT-Lockness/tecdh,2026-04,1,0,0,0,0,0,0,0,0,1
LFDT-Lockness/tecdh,2026-05,2,0,0,0,2,0,0,0,0,4
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-02,0,0,0,0,0,0,0,2,0,2
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-04,0,0,0,0,0,2,0,0,0,2
hyperledger/governance,2024-06,0,0,1,0,0,2,0,0,0,3
LF-Decentralized-Trust-labs/agora-glass_pumpkin,2025-11,0,0,1,0,0,0,0,0,0,1
