repo,month,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,WatchEvent,GollumEvent,total
hyperledger-cacti/cacti,2025-07,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-cacti/cacti,2025-09,0,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-cacti/cacti,2025-10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/blockchain-integration-framework,2019-10,0,5,2,0,0,0,1,1,0,1,0,1,2,13
hyperledger-labs/blockchain-integration-framework,2019-11,0,15,30,23,33,9,1,2,0,0,0,0,0,113
hyperledger-labs/blockchain-integration-framework,2019-12,0,16,15,12,15,11,2,0,0,0,0,0,0,71
hyperledger-labs/blockchain-integration-framework,2020-01,0,7,3,4,3,0,0,0,0,0,0,0,0,17
hyperledger-labs/blockchain-integration-framework,2020-02,0,10,4,26,7,10,2,3,0,0,0,0,1,63
hyperledger-labs/blockchain-integration-framework,2020-03,0,9,3,16,3,0,3,1,0,0,0,0,0,35
hyperledger-labs/blockchain-integration-framework,2020-04,0,1,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/blockchain-integration-framework,2020-05,0,0,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/toc,2023-02,8,0,0,0,0,2,0,0,0,0,0,0,0,10
hyperledger/toc,2023-03,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/toc,2023-04,4,0,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger/toc,2023-05,8,0,2,0,0,1,0,0,0,1,0,0,0,12
hyperledger/toc,2023-06,5,0,1,0,0,0,0,0,0,0,0,0,0,6
hyperledger/toc,2023-07,3,1,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/toc,2023-08,5,0,0,0,0,0,0,0,0,0,0,0,0,5
hyperledger/toc,2023-09,9,0,0,0,1,3,0,0,0,0,0,0,0,13
hyperledger/toc,2023-10,6,1,1,0,0,0,0,0,0,0,0,0,0,8
hyperledger/toc,2023-11,7,0,0,0,0,0,0,0,0,0,0,0,0,7
hyperledger/toc,2023-12,5,0,0,0,0,0,0,0,0,0,0,0,0,5
hyperledger/toc,2024-01,9,1,0,0,0,3,0,0,0,0,0,0,0,13
hyperledger/toc,2024-02,8,0,0,0,0,3,0,0,0,0,0,0,0,11
hyperledger/toc,2024-03,8,0,0,0,0,2,0,0,0,0,0,0,0,10
hyperledger/toc,2024-04,6,0,0,0,0,0,0,0,0,0,0,0,0,6
hyperledger/toc,2024-05,13,2,3,0,0,1,0,0,0,0,0,0,0,19
hyperledger/toc,2024-06,10,0,0,0,0,1,0,0,0,0,0,0,0,11
hyperledger/toc,2024-07,10,1,0,0,0,0,0,0,0,0,0,0,0,11
hyperledger/toc,2024-08,8,0,0,0,0,0,0,0,0,0,0,0,0,8
hyperledger/toc,2024-09,18,0,0,0,0,6,0,0,0,0,0,0,0,24
hyperledger/toc,2024-10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/toc,2024-11,3,0,0,0,0,2,0,0,0,0,0,0,0,5
LF-Decentralized-Trust/governance,2024-09,10,0,0,0,0,0,0,0,0,0,0,0,0,10
LF-Decentralized-Trust/governance,2024-10,10,0,0,0,1,2,0,0,0,1,0,0,0,14
LF-Decentralized-Trust/governance,2024-11,5,1,0,0,0,2,0,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2024-12,10,0,0,0,0,1,0,0,0,0,0,0,0,11
LF-Decentralized-Trust/governance,2025-01,7,0,1,0,0,0,0,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2025-02,4,1,0,0,0,0,0,0,0,0,0,0,0,5
LF-Decentralized-Trust/governance,2025-03,4,0,1,0,0,3,0,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2025-04,5,1,5,0,0,0,0,0,0,0,0,0,0,11
LF-Decentralized-Trust/governance,2025-05,14,0,0,0,0,3,0,0,0,0,0,0,0,17
LF-Decentralized-Trust/governance,2025-06,9,0,0,0,0,1,0,0,0,0,0,0,0,10
LF-Decentralized-Trust/governance,2025-07,2,0,0,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-08,3,0,1,0,0,0,0,0,0,0,0,0,0,4
LF-Decentralized-Trust/governance,2025-09,8,0,0,0,0,6,0,0,0,0,0,0,0,14
LF-Decentralized-Trust/governance,2025-12,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/iroha,2021-08,0,2,1,0,1,0,0,0,0,1,0,0,0,5
hyperledger/iroha,2021-09,12,1,6,0,0,11,0,0,0,0,0,0,0,30
hyperledger/iroha,2023-07,0,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/iroha,2023-08,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/tf-security,2022-04,0,10,1,5,1,0,5,5,0,0,0,0,0,27
hyperledger/governance,2022-11,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/governance,2023-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/governance,2023-09,0,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/governance,2023-10,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/governance,2023-11,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/governance,2024-03,0,0,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/governance,2024-04,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/governance,2024-07,0,0,2,0,2,0,0,0,0,0,0,0,0,4
hyperledger/governance,2024-08,0,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/governance,2024-09,0,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/governance,2024-10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/blockchain-carbon-accounting,2021-03,0,0,1,0,0,0,0,0,0,0,0,1,0,2
hyperledger-labs/blockchain-carbon-accounting,2021-04,0,1,2,0,0,0,0,0,0,1,0,0,0,4
hyperledger-labs/blockchain-carbon-accounting,2021-06,0,0,4,0,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/blockchain-carbon-accounting,2021-07,2,0,5,0,0,1,0,0,0,0,0,0,0,8
hyperledger-labs/weaver-dlt-interoperability,2021-03,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger-labs/weaver-dlt-interoperability,2021-07,0,0,2,0,4,0,0,0,0,1,0,0,0,7
hyperledger-labs/weaver-dlt-interoperability,2021-08,0,0,3,0,1,0,0,0,0,0,0,0,0,4
hyperledger-labs/weaver-dlt-interoperability,2021-10,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2020-04,0,1,0,0,0,0,0,0,0,1,0,1,0,3
hyperledger/besu,2020-05,0,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu,2023-09,1,1,1,0,1,1,0,0,0,0,0,0,0,5
hyperledger/besu,2023-10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/project-proposals,2024-10,2,0,0,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/project-proposals,2024-11,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/project-proposals,2025-04,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/project-proposals,2025-05,3,0,0,0,0,0,0,0,0,0,0,0,0,3
LF-Decentralized-Trust/project-proposals,2025-07,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-cacti/governance,2025-01,0,1,0,3,0,0,1,0,0,0,0,0,0,5
hyperledger-cacti/governance,2025-04,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-cacti/governance,2025-05,2,0,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-sdk-node,2021-07,3,0,2,0,0,2,0,0,0,0,0,0,0,7
hyperledger/fabric-sdk-node,2021-08,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger-hip,2022-11,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger-hip,2023-09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger-hip,2024-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger-hip,2024-06,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/hyperledger-hip,2024-08,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger-hip,2024-09,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-09,3,0,1,0,0,0,0,0,0,0,0,0,0,4
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-11,2,0,0,0,0,1,0,0,0,0,0,0,0,3
hyperledger/cello,2023-06,0,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/cello,2024-03,0,0,1,0,1,0,0,0,0,1,0,0,0,3
hyperledger-labs/minifabric,2020-10,0,0,2,0,2,0,0,0,0,0,0,0,0,4
hyperledger/iroha-javascript,2021-07,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/iroha-javascript,2023-10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2023-12,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/transact,2020-09,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/transact,2023-04,0,1,0,0,1,0,0,0,0,1,0,0,0,3
hyperledger/fabric,2020-08,0,2,0,0,0,0,0,0,0,1,0,0,0,3
hyperledger/indy-sdk,2019-12,0,1,1,0,0,0,0,0,0,1,0,0,0,3
hyperledger/sawtooth-docs,2021-07,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/sawtooth-docs,2023-07,0,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/tsc,2022-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/tsc,2022-03,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/tsc,2022-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/blockchain-automation-framework,2020-03,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/blockchain-automation-framework,2020-06,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger-labs/solang,2022-08,0,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/avalon,2022-01,1,0,0,0,0,1,0,0,0,0,0,0,0,2
hyperledger/quilt,2019-06,0,0,0,0,0,0,0,0,0,1,0,1,0,2
hyperledger/ursa,2020-07,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/ursa,2020-09,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/TrustID,2021-04,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/documentation-template,2023-03,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/harmonia,2023-10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/hyperledger-labs.github.io,2023-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2021-03,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-sdk-go,2023-12,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger,2024-10,0,0,0,0,0,0,0,0,0,1,0,0,0,1
