repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,IssueCommentEvent,DeleteEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hyperledger/fabric-samples,2024-04,3,0,0,1,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2024-05,2,0,2,1,0,1,2,0,0,0,0,8
hyperledger/fabric-samples,2024-06,6,0,1,4,0,1,1,0,0,0,0,13
hyperledger/fabric-samples,2024-07,53,0,0,2,0,2,0,0,0,0,0,57
hyperledger/fabric-samples,2024-08,0,0,2,2,0,2,0,0,0,0,0,6
hyperledger/fabric-samples,2024-09,2,0,2,10,0,11,2,0,0,0,0,27
hyperledger/fabric-samples,2024-10,4,0,6,7,0,1,18,0,0,0,0,36
hyperledger/fabric-samples,2024-11,2,0,1,8,0,2,0,0,0,0,0,13
hyperledger/fabric-samples,2024-12,10,6,7,20,0,15,5,0,0,0,0,63
hyperledger/fabric-samples,2025-01,9,6,11,6,0,9,7,0,0,0,0,48
hyperledger/fabric-samples,2025-02,10,7,16,11,0,6,11,0,0,0,0,61
hyperledger/fabric-samples,2025-03,6,5,11,4,2,3,1,0,0,0,0,32
hyperledger/fabric-samples,2025-05,2,1,1,2,0,1,0,0,0,0,0,7
hyperledger/fabric-samples,2025-06,0,0,0,3,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2025-07,6,3,2,0,1,0,0,0,0,0,0,12
hyperledger/fabric-samples,2025-08,1,0,0,2,0,1,0,0,0,0,0,4
hyperledger/fabric-samples,2025-09,2,1,1,1,0,0,0,0,0,0,0,5
hyperledger/fabric-samples,2025-10,5,2,3,4,5,0,0,0,0,0,0,19
hyperledger/fabric-samples,2025-11,1,1,0,1,1,0,0,0,0,0,0,4
hyperledger/fabric-samples,2025-12,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2026-01,0,0,0,0,0,1,6,0,0,0,0,7
hyperledger/fabric-samples,2026-02,3,4,1,2,1,7,0,0,0,0,0,18
hyperledger/fabric-samples,2026-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-samples,2026-04,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-samples,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2024-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2024-02,3,1,0,1,0,1,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2024-03,4,4,6,0,0,0,1,0,0,0,0,15
hyperledger/fabric-chaincode-java,2024-04,4,3,0,2,0,1,0,0,0,0,0,10
hyperledger/fabric-chaincode-java,2024-05,6,2,1,7,0,2,1,2,2,0,0,23
hyperledger/fabric-chaincode-java,2024-06,3,1,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-java,2024-07,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2024-08,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2024-09,2,1,0,1,0,1,0,1,1,0,0,7
hyperledger/fabric-chaincode-java,2024-10,7,3,2,0,0,0,1,0,0,0,0,13
hyperledger/fabric-chaincode-java,2024-11,8,1,0,6,0,1,0,0,0,0,0,16
hyperledger/fabric-chaincode-java,2024-12,6,4,0,0,0,1,0,0,0,0,0,11
hyperledger/fabric-chaincode-java,2025-01,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2025-02,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2025-03,2,1,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-java,2025-04,4,3,0,0,0,0,0,0,0,0,0,7
hyperledger/fabric-chaincode-java,2025-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2025-06,3,3,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2025-07,26,23,21,2,0,1,0,0,0,0,0,73
hyperledger/fabric-chaincode-java,2025-08,5,4,5,2,0,0,0,0,0,0,0,16
hyperledger/fabric-chaincode-java,2025-09,13,9,8,8,1,0,1,1,0,0,0,41
hyperledger/fabric-chaincode-java,2025-10,3,4,2,1,0,0,0,0,0,0,0,10
hyperledger/fabric-chaincode-java,2025-11,0,3,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-java,2025-12,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2026-01,2,5,3,0,0,0,0,0,0,0,0,10
hyperledger/fabric-chaincode-java,2026-02,0,6,3,0,0,0,0,0,0,0,0,9
hyperledger/fabric-chaincode-java,2026-03,0,6,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2026-04,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2026-05,1,3,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-node,2024-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-node,2024-02,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-node,2024-03,3,2,3,4,0,2,0,0,0,0,0,14
hyperledger/fabric-chaincode-node,2024-05,7,3,1,5,0,4,0,1,1,0,0,22
hyperledger/fabric-chaincode-node,2024-06,7,4,2,1,0,2,0,1,1,0,0,18
hyperledger/fabric-chaincode-node,2024-08,1,0,0,0,0,2,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2024-09,2,1,1,2,0,2,1,1,1,0,0,11
hyperledger/fabric-chaincode-node,2024-10,8,4,1,1,0,1,1,0,0,0,0,16
hyperledger/fabric-chaincode-node,2024-11,1,1,0,2,0,1,0,0,0,0,0,5
hyperledger/fabric-chaincode-node,2024-12,10,4,2,1,0,0,2,1,1,0,0,21
hyperledger/fabric-chaincode-node,2025-02,4,3,3,0,0,0,1,0,0,0,0,11
hyperledger/fabric-chaincode-node,2025-03,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2025-05,0,0,2,0,0,1,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-node,2025-08,0,1,2,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2025-09,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2025-10,0,1,3,1,1,2,0,0,0,0,0,8
hyperledger/fabric-chaincode-node,2025-11,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2025-12,0,1,3,1,0,0,0,0,0,0,0,5
hyperledger/fabric-chaincode-node,2026-01,0,1,2,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2026-02,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2026-03,0,4,2,0,0,1,0,0,0,0,0,7
hyperledger/fabric-chaincode-node,2026-04,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2026-05,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2024-01,3,2,10,1,0,0,6,0,0,0,0,22
hyperledger/fabric-admin-sdk,2024-02,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2024-03,8,5,6,0,0,0,0,0,0,0,0,19
hyperledger/fabric-admin-sdk,2024-04,3,1,0,3,0,0,0,0,0,0,0,7
hyperledger/fabric-admin-sdk,2024-05,2,2,1,3,0,0,0,0,0,0,0,8
hyperledger/fabric-admin-sdk,2024-06,0,0,1,2,0,0,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2024-09,8,3,4,4,0,3,5,1,0,0,0,28
hyperledger/fabric-admin-sdk,2024-10,3,1,0,0,0,1,0,0,0,0,0,5
hyperledger/fabric-admin-sdk,2024-11,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2025-02,3,1,1,4,0,0,3,0,0,0,0,12
hyperledger/fabric-admin-sdk,2025-03,4,2,0,1,0,0,0,0,0,0,0,7
hyperledger/fabric-admin-sdk,2025-05,2,2,1,1,0,0,0,0,0,0,0,6
hyperledger/fabric-admin-sdk,2025-09,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2025-11,0,2,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2026-02,1,1,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2026-03,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-admin-sdk,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-01,0,0,1,3,0,0,1,0,0,0,0,5
hyperledger/fabric,2024-02,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-04,2,0,0,4,0,0,0,0,0,0,0,6
hyperledger/fabric,2024-05,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric,2024-06,0,0,0,4,0,0,0,0,0,0,0,4
hyperledger/fabric,2024-07,1,0,1,0,0,0,1,0,0,0,0,3
hyperledger/fabric,2024-08,1,0,2,3,0,0,2,0,0,0,0,8
hyperledger/fabric,2024-09,0,0,0,3,0,2,0,0,0,0,0,5
hyperledger/fabric,2024-10,3,0,0,3,0,0,0,0,0,0,0,6
hyperledger/fabric,2024-11,0,0,1,4,0,2,0,0,0,0,0,7
hyperledger/fabric,2024-12,1,0,0,10,0,0,0,0,0,0,0,11
hyperledger/fabric,2025-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-02,10,2,9,4,0,1,8,0,0,0,0,34
hyperledger/fabric,2025-03,0,0,5,4,0,1,4,0,0,0,0,14
hyperledger/fabric,2025-05,0,0,5,0,0,0,4,0,0,0,0,9
hyperledger/fabric,2025-06,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-07,0,0,2,1,0,0,3,0,0,0,0,6
hyperledger/fabric,2025-08,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-11,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2026-02,1,0,0,1,0,0,0,0,0,0,0,2
hyperledger/fabric,2026-04,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2024-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2024-02,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2024-04,3,1,0,1,0,0,0,0,0,0,0,5
hyperledger/fabric-contract-api-go,2024-05,2,1,0,1,0,0,0,0,0,0,0,4
hyperledger/fabric-contract-api-go,2024-06,7,3,1,1,0,2,0,1,1,0,0,16
hyperledger/fabric-contract-api-go,2024-07,2,2,0,3,0,1,0,0,0,0,0,8
hyperledger/fabric-contract-api-go,2024-08,2,2,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric-contract-api-go,2024-09,4,1,0,1,0,0,0,0,0,0,0,6
hyperledger/fabric-contract-api-go,2024-10,3,1,1,0,0,0,0,0,0,0,0,5
hyperledger/fabric-contract-api-go,2024-11,5,1,1,2,0,1,0,0,0,0,0,10
hyperledger/fabric-contract-api-go,2024-12,7,6,2,1,0,3,1,1,1,0,0,22
hyperledger/fabric-contract-api-go,2025-01,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2025-02,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2025-03,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2025-05,4,2,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-contract-api-go,2025-06,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2025-07,4,3,2,0,0,0,1,0,0,0,0,10
hyperledger/fabric-contract-api-go,2025-08,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-contract-api-go,2025-09,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2025-11,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-contract-api-go,2026-01,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2026-03,2,3,1,0,0,0,0,0,0,0,0,6
hyperledger/fabric-contract-api-go,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-ca,2024-04,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2024-05,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2024-06,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2024-08,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2024-09,4,2,2,1,0,1,0,0,0,0,0,10
hyperledger/fabric-ca,2024-10,1,1,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-ca,2024-12,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2025-02,4,5,7,1,0,0,2,0,0,0,0,19
hyperledger/fabric-ca,2025-05,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-ca,2025-06,2,1,1,0,1,0,0,0,0,0,0,5
hyperledger/fabric-ca,2025-07,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-ca,2025-10,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-ca,2025-11,0,3,2,2,1,1,0,0,0,0,0,9
hyperledger/fabric-ca,2025-12,0,2,1,0,1,1,0,0,0,0,0,5
hyperledger/fabric-ca,2026-01,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-ca,2026-02,2,2,0,0,1,0,0,0,0,0,0,5
hyperledger/fabric-ca,2026-03,2,2,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-ca,2026-04,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-ca,2026-05,0,2,0,0,2,0,1,0,0,0,0,5
hyperledger/fabric-chaincode-go,2024-06,2,0,0,1,0,0,0,0,0,1,0,4
hyperledger/fabric-chaincode-go,2024-07,3,0,1,3,0,0,0,0,0,0,0,7
hyperledger/fabric-chaincode-go,2024-09,0,0,0,2,0,2,0,0,0,0,0,4
hyperledger/fabric-chaincode-go,2024-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-go,2024-11,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-go,2025-01,2,0,11,7,0,0,11,0,0,0,0,31
hyperledger/fabric-chaincode-go,2025-02,0,0,12,5,0,1,7,0,0,0,0,25
hyperledger/fabric-chaincode-go,2025-07,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-04,4,0,0,2,0,0,0,0,0,0,0,6
hyperledger/fabric-protos,2024-05,0,0,0,6,0,0,0,0,0,0,0,6
hyperledger/fabric-protos,2024-06,2,0,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2024-07,0,0,0,1,0,2,0,0,0,0,0,3
hyperledger/fabric-protos,2024-09,2,0,0,6,0,0,0,0,0,0,0,8
hyperledger/fabric-protos,2024-12,0,0,2,0,0,0,2,0,0,0,0,4
hyperledger/fabric-protos,2025-02,0,0,1,0,0,0,2,0,0,0,0,3
hyperledger/fabric-sdk-node,2024-01,1,1,0,3,0,3,0,0,0,0,0,8
hyperledger/fabric-sdk-node,2024-02,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-sdk-node,2024-06,0,0,0,2,0,1,0,0,0,0,0,3
hyperledger/fabric-sdk-node,2024-08,4,2,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric-sdk-node,2024-10,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-sdk-node,2025-04,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-gateway-java,2024-01,3,2,0,0,0,0,0,0,0,0,0,5
hyperledger/fabric-gateway-java,2024-02,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-gateway-java,2024-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway-java,2024-04,0,0,0,1,0,1,0,0,0,0,0,2
hyperledger/fabric-gateway-java,2024-05,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-gateway-java,2024-06,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-gateway-java,2024-08,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-gateway-java,2024-10,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-gateway-java,2025-04,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-sdk-java,2024-02,5,3,0,0,0,0,0,1,1,0,0,10
hyperledger/fabric-sdk-java,2024-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-java,2024-05,1,2,1,0,1,0,0,0,0,0,0,5
hyperledger/fabric-sdk-java,2024-08,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-sdk-java,2024-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-java,2024-10,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-sdk-java,2025-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/governance,2024-05,1,0,0,3,0,1,0,0,0,1,0,6
hyperledger/governance,2024-07,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/governance,2024-08,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/governance,2024-09,0,0,0,4,0,1,0,0,0,0,0,5
hyperledger/fabric-rfcs,2024-11,1,1,1,1,1,0,0,0,0,0,0,5
hyperledger/fabric-rfcs,2025-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-06,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-11,2,0,0,1,0,0,0,0,0,1,0,4
hyperledger-labs/microfab,2024-12,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-config,2024-09,0,0,0,3,0,0,0,0,0,0,0,3
hyperledger/fabric-lib-go,2024-04,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-lib-go,2024-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-test,2026-01,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/toc,2024-01,0,0,1,0,0,0,1,0,0,0,0,2
hyperledger/fabric-protos-go-apiv2,2024-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-go,2025-04,0,0,1,0,0,0,0,0,0,0,0,1
