repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,CreateEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,GollumEvent,WatchEvent,ForkEvent,ReleaseEvent,DiscussionEvent,total
hiero-ledger/tsc,2025-07,10,7,1,3,8,1,1,0,0,0,0,0,0,31
hiero-ledger/tsc,2025-08,3,6,4,2,2,1,0,0,0,0,0,0,0,18
hiero-ledger/tsc,2025-09,2,4,1,1,3,0,1,0,0,0,0,0,0,12
hiero-ledger/tsc,2025-10,1,1,0,0,3,0,0,0,0,0,0,0,0,5
hiero-ledger/tsc,2025-11,1,1,0,0,2,0,0,0,0,0,0,0,0,4
hiero-ledger/tsc,2025-12,3,1,0,0,2,0,0,0,0,0,0,0,0,6
hiero-ledger/tsc,2026-01,2,0,1,0,0,0,1,0,0,0,0,0,0,4
hiero-ledger/sdk-collaboration-hub,2025-04,1,0,0,0,0,0,1,0,0,0,0,0,0,2
hiero-ledger/sdk-collaboration-hub,2025-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2025-06,0,0,0,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/sdk-collaboration-hub,2025-10,7,2,3,0,2,5,0,1,0,0,0,0,0,20
hiero-ledger/sdk-collaboration-hub,2025-11,62,14,13,1,6,19,0,11,0,0,0,0,0,126
hiero-ledger/sdk-collaboration-hub,2025-12,4,5,1,0,2,0,0,2,0,0,0,0,1,15
hiero-ledger/sdk-collaboration-hub,2026-01,14,0,1,0,0,0,0,0,0,0,0,0,0,15
hiero-ledger/sdk-collaboration-hub,2026-02,18,11,1,2,6,12,1,0,0,0,0,0,0,51
hiero-ledger/sdk-collaboration-hub,2026-03,10,2,3,1,5,5,0,5,0,0,0,0,0,31
hiero-ledger/sdk-collaboration-hub,2026-04,0,0,0,0,3,2,0,0,0,0,0,0,0,5
hiero-ledger/sdk-collaboration-hub,2026-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2024-10,18,9,0,0,4,0,2,3,0,0,0,0,0,36
hiero-ledger/hiero,2024-11,21,3,1,1,1,0,0,1,0,1,0,0,0,29
hiero-ledger/hiero,2024-12,7,2,0,0,1,0,0,1,0,0,0,0,0,11
hiero-ledger/hiero,2025-01,34,12,1,0,6,0,0,7,0,0,0,0,0,60
hiero-ledger/hiero,2025-02,9,2,1,0,1,6,0,1,0,0,0,0,0,20
hiero-ledger/hiero,2025-03,6,3,1,0,2,0,0,2,0,0,0,0,0,14
hiero-ledger/hiero,2025-04,2,5,0,0,3,0,0,3,0,0,0,0,0,13
hiero-ledger/hiero,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2025-09,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2026-03,1,1,0,0,3,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-solo-action,2025-03,9,6,1,1,5,0,0,1,0,0,0,2,0,25
hiero-ledger/hiero-solo-action,2025-04,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-solo-action,2025-05,1,10,4,10,5,4,6,0,0,0,0,0,0,40
hiero-ledger/hiero-solo-action,2025-06,1,0,1,0,0,1,0,0,0,0,0,0,0,3
hiero-ledger/hiero-solo-action,2025-07,2,2,5,4,1,1,1,0,0,0,0,0,0,16
hiero-ledger/hiero-solo-action,2025-08,1,1,0,0,0,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-solo-action,2025-10,0,0,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2024-10,2,3,1,7,1,0,1,0,0,0,0,0,0,15
hiero-ledger/hiero-website,2024-11,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-04,3,7,2,2,3,0,0,1,0,0,0,0,0,18
hiero-ledger/hiero-website,2025-05,2,2,2,0,1,1,0,1,0,0,0,0,0,9
hiero-ledger/hiero-website,2025-06,0,0,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-07,2,1,5,1,0,1,0,0,0,0,0,0,0,10
hiero-ledger/hiero-website,2025-08,1,2,2,1,0,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-website,2025-09,0,0,3,3,0,1,4,0,0,0,0,0,0,11
hiero-ledger/hiero-website,2026-02,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2026-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2026-05,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LFDT-Hiero/tsc,2024-10,1,3,0,41,2,0,24,2,0,0,0,0,0,73
LFDT-Hiero/governance,2024-08,8,10,0,1,4,0,0,3,0,0,1,0,0,27
LFDT-Hiero/governance,2024-09,2,3,0,0,1,0,0,1,0,0,0,0,0,7
LFDT-Hiero/governance,2024-10,3,7,0,2,5,0,0,1,0,0,0,0,0,18
LFDT-Hiero/website,2024-09,0,1,0,0,1,0,0,0,0,1,0,0,0,3
LFDT-Hiero/website,2024-10,14,5,3,9,3,4,7,1,0,0,0,0,0,46
LF-Decentralized-Trust/governance,2024-10,0,0,0,0,0,0,1,0,0,1,0,0,0,2
LF-Decentralized-Trust/governance,2025-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-02,0,0,1,1,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-03,2,3,1,1,3,5,0,0,0,0,0,0,0,15
LF-Decentralized-Trust/governance,2025-04,1,1,2,2,0,1,0,0,0,0,0,0,0,7
LF-Decentralized-Trust/governance,2025-05,0,0,2,1,0,1,0,0,0,0,0,0,0,4
LF-Decentralized-Trust/governance,2025-06,0,0,2,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-08,0,0,2,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-11,0,0,3,0,0,0,0,0,0,0,0,0,0,3
LF-Decentralized-Trust/governance,2025-12,0,0,2,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2026-05,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/.github,2024-10,9,5,0,0,1,0,3,1,0,0,0,0,0,19
hiero-ledger/.github,2024-11,1,1,0,0,0,0,1,0,0,0,0,0,0,3
hiero-ledger/.github,2025-02,2,1,1,1,0,0,0,0,0,0,0,0,0,5
hiero-ledger/.github,2025-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/.github,2025-06,1,1,0,0,1,0,0,1,0,0,0,0,0,4
hiero-ledger/.github,2025-07,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/.github,2025-09,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/.github,2026-02,1,0,1,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-01,1,3,0,1,2,0,1,1,0,0,0,0,0,9
hiero-ledger/hiero-sdk-js,2025-02,1,0,0,0,0,0,0,1,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-03,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-04,2,2,0,0,2,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-sdk-js,2025-05,3,3,0,1,3,0,0,0,0,0,0,0,0,10
hiero-ledger/hiero-sdk-js,2025-06,2,2,0,0,1,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-js,2025-12,0,0,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-02,2,0,0,0,2,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-java,2025-03,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-05,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2026-01,2,0,0,0,0,2,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-java,2026-02,1,0,1,0,0,14,0,0,0,0,0,0,0,16
hiero-ledger/hiero-sdk-java,2026-03,1,1,0,0,2,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-java,2026-04,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/hyperledger-hip,2024-08,0,1,15,0,0,15,0,0,0,0,1,0,0,32
LFDT-Hiero/hiero,2024-09,1,2,0,0,1,0,0,1,0,0,0,0,0,5
LFDT-Hiero/hiero,2024-10,13,4,0,0,3,0,0,1,0,0,0,0,0,21
hiero-ledger/hiero-sdk-cpp,2024-10,2,2,0,0,2,0,0,0,0,1,0,0,0,7
hiero-ledger/hiero-sdk-cpp,2024-11,0,2,0,0,1,0,3,1,0,0,0,0,0,7
hiero-ledger/hiero-sdk-cpp,2024-12,0,1,0,1,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-cpp,2025-03,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2025-10,0,0,0,4,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-tck,2024-10,3,1,1,0,1,1,0,0,0,1,0,0,0,8
hiero-ledger/hiero-sdk-tck,2024-11,0,0,1,0,0,3,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-tck,2025-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-04,2,2,0,0,2,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-sdk-tck,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/awesome-contributions,2024-11,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/awesome-contributions,2024-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/awesome-contributions,2025-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/awesome-contributions,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/awesome-contributions,2025-03,4,3,3,0,0,0,0,0,0,0,0,0,0,10
hiero-ledger/awesome-contributions,2025-05,1,1,1,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-enterprise-java,2026-03,7,0,2,2,1,0,2,0,0,0,0,0,0,14
hiero-ledger/hiero-enterprise-java,2026-05,0,0,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-02,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-mirror-node,2025-03,4,0,0,0,1,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-mirror-node,2025-05,0,0,1,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-mirror-node,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-10,0,0,0,2,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/project-proposals,2025-05,0,0,2,0,0,1,0,0,0,0,0,0,0,3
LF-Decentralized-Trust/project-proposals,2025-08,0,3,0,1,4,0,0,0,0,0,0,0,0,8
hiero-ledger/hiero-did-sdk-python,2025-02,0,1,0,0,1,0,2,0,0,0,0,0,0,4
hiero-ledger/hiero-did-sdk-python,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-did-sdk-python,2025-05,0,3,0,1,2,0,0,0,0,0,0,0,0,6
hiero-ledger/solo,2025-05,0,1,2,0,1,2,0,0,0,0,0,0,0,6
hiero-ledger/solo,2025-10,0,0,0,5,0,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-consensus-node,2025-02,0,1,0,0,0,0,1,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-04,2,1,0,0,1,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-05,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-10,0,0,0,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-local-node,2025-01,0,1,0,0,1,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-local-node,2025-03,1,2,0,0,2,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-local-node,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-go,2024-11,0,1,0,0,1,0,4,0,0,0,0,0,0,6
hiero-ledger/hiero-sdk-go,2025-03,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2025-05,0,0,1,0,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-go,2026-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-docs,2025-02,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-docs,2025-03,0,1,0,1,1,0,0,0,0,0,1,0,0,4
hiero-ledger/hiero-docs,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-docs,2025-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-03,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-08,0,0,2,0,0,2,0,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2025-09,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2025-02,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-block-node,2025-03,1,0,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-block-node,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-block-node,2025-10,0,0,0,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-swift,2025-02,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-swift,2025-03,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-swift,2025-05,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-swift,2025-06,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-swift,2025-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-05,0,3,0,1,2,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-sdk-python,2025-02,0,0,3,0,0,1,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-python,2025-03,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-05,0,1,0,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-json-rpc-relay,2025-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-json-rpc-relay,2025-06,1,0,1,1,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-rust,2025-03,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-rust,2025-05,1,2,0,0,1,0,0,1,0,0,0,0,0,5
LFDT-Hiero/.github,2024-08,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LFDT-Hiero/.github,2024-10,0,2,0,0,2,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-gradle-conventions,2024-11,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-gradle-conventions,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-did-sdk-js,2025-10,0,0,0,0,0,0,4,0,0,0,0,0,0,4
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-09,0,0,1,1,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-03,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LFDT-Regional-Chapters/LFDT-European-Chapter,2026-02,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/website,2024-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2023-07,0,0,0,0,0,0,0,0,0,1,0,0,0,1
