repo,month,PushEvent,DeleteEvent,PullRequestEvent,CreateEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,PullRequestReviewCommentEvent,ReleaseEvent,WatchEvent,ForkEvent,total
hyperledger-identus/cloud-agent,2025-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2025-12,15,2,1,0,1,0,0,1,0,0,0,20
hyperledger-identus/cloud-agent,2026-01,12,7,0,0,5,2,1,0,0,0,0,27
hyperledger-identus/cloud-agent,2026-02,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger-identus/cloud-agent,2026-03,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger-identus/cloud-agent,2026-04,8,1,0,1,0,0,0,0,0,0,0,10
hyperledger-identus/cloud-agent,2026-05,2,0,0,1,0,0,0,0,0,0,0,3
hyperledger-identus/docs,2025-05,5,0,1,1,1,0,1,0,0,0,0,9
hyperledger-identus/docs,2025-07,2,1,2,1,0,3,0,0,0,0,0,9
hyperledger-identus/docs,2025-10,3,2,3,0,2,0,0,2,0,0,0,12
hyperledger-identus/docs,2025-12,5,1,1,1,0,0,0,1,0,0,0,9
hyperledger-identus/docs,2026-01,11,1,1,0,0,0,1,1,0,0,0,15
hyperledger-identus/docs,2026-03,1,1,0,0,2,0,0,0,0,0,0,4
hyperledger-identus/docs,2026-05,0,0,0,1,1,0,0,0,0,0,0,2
hyperledger-identus/vdr,2025-06,1,1,0,1,1,2,0,1,0,0,0,7
hyperledger-identus/vdr,2025-07,16,4,3,4,2,0,0,0,0,0,0,29
hyperledger-identus/vdr,2025-08,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger-identus/vdr,2025-09,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/vdr,2026-02,0,0,1,0,0,0,1,0,0,0,0,2
hyperledger-identus/vdr,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2025-11,6,0,1,1,0,0,0,0,0,0,0,8
hyperledger-identus/mediator,2026-01,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger-identus/mediator,2026-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/prism-vdr-driver,2025-09,0,0,0,0,3,0,0,4,0,0,0,7
hyperledger-identus/prism-vdr-driver,2025-12,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/prism-vdr-driver,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/sdk-ts,2025-05,1,1,2,1,0,0,0,0,0,0,0,5
hyperledger-identus/sdk-ts,2026-03,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/sdk-ts,2026-05,1,0,0,2,0,0,0,0,0,0,0,3
hyperledger-identus/hyperledger-identus,2025-07,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/hyperledger-identus,2025-08,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger-identus/hyperledger-identus,2025-09,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/hyperledger-identus,2026-01,0,0,0,0,0,1,1,0,0,0,0,2
hyperledger-identus/.github,2025-05,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger-identus/.github,2025-07,0,0,0,0,0,1,1,0,0,0,0,2
hyperledger-identus/.github,2025-09,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/open-enterprise-agent,2024-01,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/open-enterprise-agent,2024-02,0,0,2,0,0,0,0,0,0,0,1,3
hyperledger-labs/open-enterprise-agent,2024-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/governance,2025-05,0,0,1,0,0,0,0,0,0,0,1,2
hyperledger-identus/governance,2025-06,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/apollo,2025-07,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-identus/identus,2025-02,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/integration,2026-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-08,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/identus,2024-07,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/identus-cloud-agent,2024-12,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/identus-keycloak-plugins,2024-06,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/askar,2025-05,0,0,0,0,0,0,0,0,0,1,0,1
