repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ForkEvent,ReleaseEvent,total
openwallet-foundation/acapy,2025-10,3,0,0,1,1,0,0,0,0,0,5
openwallet-foundation/acapy,2025-12,6,0,1,0,4,0,0,0,0,0,11
openwallet-foundation/acapy,2026-01,2,1,1,0,2,0,0,0,0,0,6
openwallet-foundation/acapy,2026-02,1,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-endorser-service,2024-01,0,2,0,1,0,0,0,0,0,0,3
hyperledger/aries-endorser-service,2024-02,3,1,1,0,0,4,1,0,0,0,10
hyperledger/aries-endorser-service,2024-03,0,1,1,0,0,0,0,0,0,0,2
hyperledger/aries-endorser-service,2024-04,2,2,1,1,1,1,1,0,0,0,9
hyperledger/aries-endorser-service,2024-05,1,0,1,0,0,1,0,0,0,0,3
hyperledger/aries-endorser-service,2024-06,0,1,13,4,0,3,0,0,0,0,21
hyperledger/aries-endorser-service,2024-07,0,1,3,4,0,0,0,0,0,0,8
hyperledger/aries-endorser-service,2024-08,3,5,7,3,0,0,0,0,0,0,18
hyperledger/aries-endorser-service,2024-09,5,1,3,7,2,1,2,0,0,0,21
hyperledger/aries-endorser-service,2024-10,0,1,2,0,0,1,0,0,0,0,4
openwallet-foundation/helm-charts,2025-06,1,1,2,4,2,0,0,0,0,0,10
openwallet-foundation/helm-charts,2025-07,4,3,3,0,0,0,0,0,0,0,10
openwallet-foundation/helm-charts,2025-08,6,3,4,1,0,0,0,0,0,0,14
openwallet-foundation/helm-charts,2025-09,4,2,1,1,2,1,2,0,0,0,13
openwallet-foundation/helm-charts,2025-10,5,11,3,1,0,0,0,1,0,0,21
openwallet-foundation/helm-charts,2025-11,1,0,0,0,2,0,0,0,0,0,3
openwallet-foundation/helm-charts,2025-12,2,1,0,1,0,0,0,0,0,0,4
openwallet-foundation/helm-charts,2026-01,1,0,0,0,0,1,0,0,0,0,2
openwallet-foundation/helm-charts,2026-02,2,4,0,0,0,0,2,0,0,0,8
openwallet-foundation/helm-charts,2026-03,1,0,0,0,2,0,0,0,0,0,3
openwallet-foundation/helm-charts,2026-04,2,1,0,0,1,0,4,0,0,0,8
openwallet-foundation/helm-charts,2026-05,1,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-01,3,0,0,4,1,0,0,0,0,0,8
hyperledger/aries-cloudagent-python,2024-02,1,0,1,5,0,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2024-03,0,0,2,4,0,3,0,0,0,0,9
hyperledger/aries-cloudagent-python,2024-04,1,0,0,5,1,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2024-05,1,0,0,1,1,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2024-07,9,0,0,4,5,3,0,0,0,0,21
hyperledger/aries-cloudagent-python,2024-08,7,1,0,2,6,1,0,0,0,0,17
hyperledger/aries-cloudagent-python,2024-10,3,0,0,2,2,0,0,0,0,0,7
openwallet-foundation/acapy-endorser-service,2024-12,0,1,2,0,0,0,0,0,0,0,3
openwallet-foundation/acapy-endorser-service,2025-02,1,2,4,1,0,1,0,1,0,1,11
openwallet-foundation/acapy-endorser-service,2025-03,1,2,2,1,0,0,0,0,0,0,6
openwallet-foundation/acapy-endorser-service,2025-07,1,0,0,1,0,1,0,0,0,0,3
openwallet-foundation/acapy-endorser-service,2025-08,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2025-09,1,1,0,0,1,0,0,0,0,0,3
openwallet-foundation/acapy-endorser-service,2025-10,1,2,0,1,1,0,0,0,0,0,5
openwallet-foundation/acapy-endorser-service,2025-11,1,1,0,0,2,0,0,0,0,0,4
openwallet-foundation/acapy-endorser-service,2025-12,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2026-01,1,0,1,1,1,1,0,0,0,0,5
openwallet-foundation/acapy-endorser-service,2026-03,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-endorser-service,2026-04,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2024-10,2,0,0,0,1,0,0,0,0,0,3
openwallet-foundation/acapy-plugins,2025-03,1,1,1,0,0,0,0,0,0,0,3
openwallet-foundation/acapy-plugins,2025-04,4,2,0,2,2,0,0,0,0,0,10
openwallet-foundation/acapy-plugins,2025-07,3,0,0,0,2,0,0,0,0,0,5
openwallet-foundation/acapy-plugins,2025-12,1,0,0,0,1,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2026-01,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/acapy-plugins,2026-02,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/PyDentity-Wallet,2025-03,1,0,0,0,4,0,0,0,0,0,5
openwallet-foundation-labs/PyDentity-Wallet,2025-04,2,0,0,1,1,1,0,0,0,0,5
openwallet-foundation-labs/PyDentity-Wallet,2025-07,5,0,0,0,3,0,0,0,0,0,8
openwallet-foundation/didcomm-mediator-credo,2025-04,4,0,1,0,0,0,0,0,1,0,6
openwallet-foundation/didcomm-mediator-credo,2025-05,3,1,1,0,0,0,0,0,0,0,5
openwallet-foundation/didcomm-mediator-credo,2025-10,1,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/didcomm-mediator-credo,2026-04,0,0,0,1,1,0,0,0,0,0,2
hyperledger/aries-acapy-plugins,2024-02,0,0,0,0,0,2,0,0,0,0,2
hyperledger/aries-acapy-plugins,2024-03,3,0,0,0,2,0,0,0,0,0,5
hyperledger/aries-acapy-plugins,2024-04,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-acapy-plugins,2024-06,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-acapy-tools,2024-08,1,0,0,0,2,0,0,0,0,0,3
hyperledger/aries-acapy-tools,2024-09,2,1,1,0,0,0,0,0,0,0,4
openwallet-foundation/acapy-tools,2025-07,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-tools,2025-08,1,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-tools,2025-10,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-tools,2026-04,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-vdr,2024-08,0,0,0,0,0,1,0,0,0,0,1
hyperledger/indy-vdr,2024-09,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-vdr,2025-01,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/governance,2025-04,0,0,1,0,0,0,0,0,1,0,2
openwallet-foundation/governance,2025-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-07,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/acapy-controllers,2025-04,1,0,0,0,1,0,0,0,0,0,2
hyperledger/aries-acapy-controllers,2024-10,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-bbssignatures-rs,2024-08,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-04,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/didcomm-mediator-service,2025-02,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/multipaz,2026-03,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/owl-agent-test-harness,2025-02,1,0,0,0,0,0,0,0,0,0,1
