repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,WatchEvent,MemberEvent,total
hyperledger/aries-cloudagent-python,2021-06,24,4,10,6,5,0,1,0,0,0,0,0,0,50
hyperledger/aries-cloudagent-python,2021-07,29,7,6,6,5,0,0,0,0,0,0,0,0,53
hyperledger/aries-cloudagent-python,2021-08,26,5,3,2,14,0,0,1,1,0,0,0,0,52
hyperledger/aries-cloudagent-python,2021-09,15,4,8,4,5,1,0,0,0,0,0,0,0,37
hyperledger/aries-cloudagent-python,2021-10,10,1,6,1,2,5,0,1,0,0,0,0,0,26
hyperledger/aries-cloudagent-python,2021-11,23,17,6,10,5,3,0,1,1,0,0,0,0,66
hyperledger/aries-cloudagent-python,2021-12,39,16,8,14,6,1,0,1,1,0,0,0,0,86
hyperledger/aries-cloudagent-python,2022-01,93,10,1,8,86,0,0,1,1,0,0,0,0,200
hyperledger/aries-cloudagent-python,2022-02,20,2,1,3,4,0,1,0,0,0,0,0,0,31
hyperledger/aries-cloudagent-python,2022-03,52,9,5,5,11,0,1,0,0,0,0,1,0,84
hyperledger/aries-cloudagent-python,2022-04,31,14,3,9,5,0,0,2,2,0,0,0,0,66
hyperledger/aries-cloudagent-python,2022-05,14,4,1,3,3,0,1,1,2,1,0,0,0,30
hyperledger/aries-cloudagent-python,2022-06,121,24,14,21,59,3,1,3,4,0,0,0,0,250
hyperledger/aries-cloudagent-python,2022-07,21,5,4,5,9,1,0,0,0,0,0,0,0,45
hyperledger/aries-cloudagent-python,2022-08,33,12,4,7,4,1,1,1,1,0,0,0,0,64
hyperledger/aries-cloudagent-python,2022-09,32,6,12,5,12,4,1,0,0,0,0,0,0,72
hyperledger/aries-cloudagent-python,2022-10,20,18,7,15,5,0,0,3,3,1,0,0,0,72
hyperledger/aries-cloudagent-python,2022-11,25,9,5,7,8,1,1,2,1,0,0,0,0,59
hyperledger/aries-cloudagent-python,2022-12,16,3,2,4,3,0,0,0,0,0,0,0,0,28
hyperledger/aries-cloudagent-python,2023-01,28,4,0,5,16,0,0,0,0,0,0,0,0,53
hyperledger/aries-cloudagent-python,2023-02,21,10,6,8,1,4,1,2,1,0,0,0,0,54
hyperledger/aries-cloudagent-python,2023-03,47,15,5,13,15,5,3,6,3,0,0,0,0,112
hyperledger/aries-cloudagent-python,2023-04,23,13,2,7,13,2,1,1,1,0,0,0,0,63
hyperledger/aries-cloudagent-python,2023-05,30,9,14,14,6,6,1,0,0,0,0,0,0,80
hyperledger/aries-cloudagent-python,2023-06,42,21,4,14,12,3,1,7,5,1,0,0,0,110
hyperledger/aries-cloudagent-python,2023-07,69,29,16,20,25,4,1,4,3,0,0,0,0,171
hyperledger/aries-cloudagent-python,2023-08,72,25,14,19,14,1,0,5,5,0,0,0,0,155
hyperledger/aries-cloudagent-python,2023-09,52,19,14,17,13,0,2,5,3,0,0,0,0,125
hyperledger/aries-cloudagent-python,2023-10,49,29,16,23,13,4,7,5,3,1,0,0,0,150
hyperledger/aries-cloudagent-python,2023-11,47,19,8,13,29,0,0,4,3,0,0,0,0,123
hyperledger/aries-cloudagent-python,2023-12,26,14,20,14,14,14,1,0,0,0,0,0,0,103
hyperledger/aries-cloudagent-python,2024-01,63,17,9,12,20,1,1,1,1,0,0,0,0,125
hyperledger/aries-cloudagent-python,2024-02,55,34,9,21,17,0,4,4,1,1,0,0,0,146
hyperledger/aries-cloudagent-python,2024-03,24,22,12,19,7,0,6,5,1,1,0,0,0,97
hyperledger/aries-cloudagent-python,2024-04,24,19,8,18,12,3,6,7,4,0,0,0,0,101
hyperledger/aries-cloudagent-python,2024-05,31,11,6,10,3,0,3,3,2,0,0,0,0,69
hyperledger/aries-cloudagent-python,2024-06,12,2,6,3,2,3,1,0,0,0,0,0,0,29
hyperledger/aries-cloudagent-python,2024-07,39,30,37,27,5,17,10,5,4,3,0,0,0,177
hyperledger/aries-cloudagent-python,2024-08,59,29,9,20,115,0,15,10,4,0,0,0,0,261
hyperledger/aries-cloudagent-python,2024-09,20,4,7,7,8,0,2,1,1,0,0,0,0,50
hyperledger/aries-cloudagent-python,2024-10,4,4,3,2,0,1,2,3,2,0,0,0,0,21
hyperledger/aries-agent-test-harness,2020-08,2,3,0,2,0,3,0,0,0,1,0,0,0,11
hyperledger/aries-agent-test-harness,2020-09,3,6,6,5,0,1,0,0,0,0,0,0,0,21
hyperledger/aries-agent-test-harness,2020-10,4,2,5,2,1,2,0,0,0,0,0,0,0,16
hyperledger/aries-agent-test-harness,2020-11,3,3,3,3,1,1,0,0,0,0,0,0,0,14
hyperledger/aries-agent-test-harness,2020-12,6,3,4,3,1,4,0,0,0,0,0,0,0,21
hyperledger/aries-agent-test-harness,2021-01,9,8,8,7,0,0,0,0,0,0,0,0,0,32
hyperledger/aries-agent-test-harness,2021-02,11,10,16,10,5,7,0,0,0,0,0,0,0,59
hyperledger/aries-agent-test-harness,2021-03,27,24,10,16,17,1,0,0,0,0,0,0,0,95
hyperledger/aries-agent-test-harness,2021-04,9,12,8,9,6,0,0,0,0,0,0,0,0,44
hyperledger/aries-agent-test-harness,2021-05,2,12,8,9,1,0,3,0,0,0,0,0,0,35
hyperledger/aries-agent-test-harness,2021-06,7,15,14,14,4,0,4,0,0,0,0,0,0,58
hyperledger/aries-agent-test-harness,2021-07,6,20,19,18,3,1,14,1,0,1,0,0,0,83
hyperledger/aries-agent-test-harness,2021-08,6,8,10,8,2,0,5,0,0,0,0,0,0,39
hyperledger/aries-agent-test-harness,2021-09,14,20,18,18,2,4,6,0,0,0,0,0,0,82
hyperledger/aries-agent-test-harness,2021-10,2,0,1,7,0,0,0,0,0,0,0,0,0,10
hyperledger/aries-agent-test-harness,2021-11,11,8,14,8,2,6,2,0,0,1,0,0,0,52
hyperledger/aries-agent-test-harness,2021-12,2,6,5,6,0,0,3,0,0,0,0,0,0,22
hyperledger/aries-agent-test-harness,2022-01,19,10,12,12,12,0,3,0,0,0,0,0,0,68
hyperledger/aries-agent-test-harness,2022-02,5,10,10,12,0,0,6,0,0,0,0,0,0,43
hyperledger/aries-agent-test-harness,2022-03,14,9,13,11,2,2,2,0,0,0,0,0,0,53
hyperledger/aries-agent-test-harness,2022-04,12,9,5,9,3,0,2,0,0,0,0,0,0,40
hyperledger/aries-agent-test-harness,2022-05,13,8,1,3,5,0,0,0,0,0,0,0,0,30
hyperledger/aries-agent-test-harness,2022-06,21,13,12,13,13,1,5,0,0,0,0,0,0,78
hyperledger/aries-agent-test-harness,2022-07,7,6,6,7,3,0,4,0,0,0,1,0,0,34
hyperledger/aries-agent-test-harness,2022-08,8,8,11,8,3,0,4,1,0,0,0,0,0,43
hyperledger/aries-agent-test-harness,2022-09,1,6,5,6,1,0,5,0,0,1,0,0,0,25
hyperledger/aries-agent-test-harness,2022-10,9,11,8,9,2,2,4,0,0,0,0,0,0,45
hyperledger/aries-agent-test-harness,2022-11,8,11,11,10,1,0,7,1,0,1,0,0,0,50
hyperledger/aries-agent-test-harness,2022-12,10,14,8,10,5,0,4,0,0,0,0,0,0,51
hyperledger/aries-agent-test-harness,2023-01,3,5,5,5,2,0,4,0,0,0,0,0,0,24
hyperledger/aries-agent-test-harness,2023-02,4,7,7,6,0,0,5,1,0,1,0,0,0,31
hyperledger/aries-agent-test-harness,2023-03,2,7,3,4,4,0,3,1,0,0,0,0,0,24
hyperledger/aries-agent-test-harness,2023-04,4,5,6,7,3,0,5,0,0,0,0,0,0,30
hyperledger/aries-agent-test-harness,2023-05,6,7,15,7,4,6,5,0,0,0,0,0,0,50
hyperledger/aries-agent-test-harness,2023-06,9,8,10,9,4,3,5,0,0,1,0,0,0,49
hyperledger/aries-agent-test-harness,2023-07,6,9,5,6,1,0,5,1,0,0,0,0,0,33
hyperledger/aries-agent-test-harness,2023-08,3,9,6,7,0,0,5,0,0,0,0,0,0,30
hyperledger/aries-agent-test-harness,2023-09,2,5,4,4,0,0,3,0,0,0,0,0,0,18
hyperledger/aries-agent-test-harness,2023-10,10,9,6,6,1,1,5,0,0,0,0,0,0,38
hyperledger/aries-agent-test-harness,2023-11,0,4,4,4,2,0,3,0,0,0,0,0,0,17
hyperledger/aries-agent-test-harness,2023-12,2,5,5,5,1,0,4,0,0,0,0,0,0,22
hyperledger/aries-agent-test-harness,2024-01,1,5,6,8,1,1,3,0,0,0,0,0,0,25
hyperledger/aries-agent-test-harness,2024-02,11,3,6,3,0,0,2,0,0,0,0,0,0,25
hyperledger/aries-agent-test-harness,2024-03,2,5,6,6,1,0,4,0,0,0,0,0,0,24
hyperledger/aries-agent-test-harness,2024-04,2,7,7,8,2,0,3,0,0,0,0,0,0,29
hyperledger/aries-agent-test-harness,2024-05,2,8,9,9,0,0,3,0,0,0,0,0,0,31
hyperledger/aries-agent-test-harness,2024-06,4,4,7,3,2,1,3,2,0,0,0,0,0,26
hyperledger/aries-agent-test-harness,2024-07,4,8,9,9,0,0,7,0,0,0,0,0,0,37
hyperledger/aries-agent-test-harness,2024-08,12,18,4,9,0,1,2,2,0,0,0,0,0,48
hyperledger/aries-agent-test-harness,2024-09,5,6,8,5,2,0,2,1,0,0,0,0,0,29
hyperledger/aries-rfcs,2019-05,1,2,0,0,0,0,0,0,0,1,0,1,0,5
hyperledger/aries-rfcs,2019-06,14,3,0,0,0,5,0,0,0,0,0,0,0,22
hyperledger/aries-rfcs,2019-07,10,0,0,0,1,1,0,0,0,0,0,0,0,12
hyperledger/aries-rfcs,2019-08,33,7,0,4,3,2,0,0,0,0,0,0,0,49
hyperledger/aries-rfcs,2019-09,13,8,0,8,4,0,0,0,0,0,0,0,0,33
hyperledger/aries-rfcs,2019-10,13,1,0,1,1,0,0,0,0,0,0,0,0,16
hyperledger/aries-rfcs,2019-11,54,16,0,2,11,1,0,0,0,0,0,0,0,84
hyperledger/aries-rfcs,2019-12,24,7,0,3,2,2,0,0,0,0,0,0,0,38
hyperledger/aries-rfcs,2020-01,56,12,0,5,8,0,0,0,0,0,0,0,0,81
hyperledger/aries-rfcs,2020-02,19,5,0,3,2,33,0,0,0,0,0,0,0,62
hyperledger/aries-rfcs,2020-03,20,8,0,5,4,21,0,0,0,0,0,0,0,58
hyperledger/aries-rfcs,2020-04,15,5,0,5,3,4,0,0,0,0,0,0,0,32
hyperledger/aries-rfcs,2020-05,14,11,0,5,2,38,0,0,0,0,0,0,0,70
hyperledger/aries-rfcs,2020-06,18,8,0,4,1,29,0,0,0,0,0,0,0,60
hyperledger/aries-rfcs,2020-07,17,13,0,7,0,9,0,0,0,0,0,0,0,46
hyperledger/aries-rfcs,2020-08,26,9,0,5,5,3,0,0,0,0,0,0,0,48
hyperledger/aries-rfcs,2020-09,6,2,5,1,0,5,0,0,0,0,0,0,0,19
hyperledger/aries-rfcs,2020-10,26,7,11,4,3,8,0,0,0,0,0,0,0,59
hyperledger/aries-rfcs,2020-11,2,6,6,5,0,1,0,0,0,0,0,0,0,20
hyperledger/aries-rfcs,2020-12,4,3,6,2,0,4,0,0,0,0,0,0,0,19
hyperledger/aries-rfcs,2021-01,2,4,6,2,0,4,0,0,0,0,0,0,0,18
hyperledger/aries-rfcs,2021-02,4,1,6,0,1,5,0,0,0,0,0,0,0,17
hyperledger/aries-rfcs,2021-03,15,15,14,8,0,1,0,0,0,0,0,0,0,53
hyperledger/aries-rfcs,2021-04,21,11,17,8,10,2,0,0,0,0,0,0,0,69
hyperledger/aries-rfcs,2021-05,10,12,8,9,2,1,0,0,0,0,0,0,0,42
hyperledger/aries-rfcs,2021-06,6,5,2,2,2,0,0,0,0,0,0,0,0,17
hyperledger/aries-rfcs,2021-07,5,3,10,1,0,7,0,0,0,0,0,0,0,26
hyperledger/aries-rfcs,2021-08,1,1,2,1,0,0,2,1,0,0,0,0,0,8
hyperledger/aries-rfcs,2021-09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2021-11,4,4,2,3,0,0,0,0,0,0,0,0,0,13
hyperledger/aries-rfcs,2021-12,3,1,1,1,0,1,0,0,0,0,0,0,0,7
hyperledger/aries-rfcs,2022-01,7,1,2,2,2,0,0,0,0,0,0,0,0,14
hyperledger/aries-rfcs,2022-02,2,3,2,2,0,0,0,0,0,0,0,0,0,9
hyperledger/aries-rfcs,2022-03,3,2,0,0,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-rfcs,2022-04,4,1,4,1,0,1,0,0,0,0,0,0,0,11
hyperledger/aries-rfcs,2022-05,1,0,0,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2022-06,1,1,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2022-08,2,1,1,0,0,1,0,0,0,0,0,0,0,5
hyperledger/aries-rfcs,2022-09,1,2,2,0,0,2,0,0,0,0,0,0,0,7
hyperledger/aries-rfcs,2022-10,6,2,3,2,0,1,0,0,0,0,0,0,0,14
hyperledger/aries-rfcs,2022-11,0,4,2,1,0,0,0,0,0,0,0,0,0,7
hyperledger/aries-rfcs,2022-12,2,0,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2023-01,6,0,0,0,2,0,0,0,0,0,0,0,0,8
hyperledger/aries-rfcs,2023-02,1,1,0,0,0,0,0,1,0,0,0,0,0,3
hyperledger/aries-rfcs,2023-03,9,2,3,2,3,0,0,0,0,0,0,0,0,19
hyperledger/aries-rfcs,2023-04,0,1,2,0,0,2,0,0,0,0,0,0,0,5
hyperledger/aries-rfcs,2023-05,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2023-06,11,9,3,4,0,4,0,0,0,0,0,0,0,31
hyperledger/aries-rfcs,2023-07,3,5,2,2,1,2,0,0,0,0,0,0,0,15
hyperledger/aries-rfcs,2023-08,3,0,1,0,0,1,0,0,0,0,0,0,0,5
hyperledger/aries-rfcs,2023-09,1,0,12,0,0,11,0,0,0,0,0,0,0,24
hyperledger/aries-rfcs,2023-11,1,1,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2023-12,5,4,2,2,0,0,0,0,0,0,0,0,0,13
hyperledger/aries-rfcs,2024-01,2,2,3,2,0,1,0,0,0,0,0,0,0,10
hyperledger/aries-rfcs,2024-02,1,4,3,1,0,2,0,0,0,0,0,0,0,11
hyperledger/aries-rfcs,2024-03,9,20,0,10,0,0,0,0,0,1,0,0,0,40
hyperledger/aries-rfcs,2024-04,1,1,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2024-05,4,8,8,6,0,2,2,0,0,0,0,0,0,30
hyperledger/aries-rfcs,2024-06,2,0,3,1,0,0,1,0,0,0,0,0,0,7
hyperledger/aries-rfcs,2024-07,0,2,2,2,0,0,2,0,0,0,0,0,0,8
hyperledger/aries-rfcs,2024-08,3,1,1,1,0,0,0,0,0,0,0,0,0,6
hyperledger/aries-rfcs,2024-09,2,4,4,4,0,0,3,0,0,0,0,0,0,17
hyperledger/aries-rfcs,2024-10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2025-01,0,4,3,1,0,0,0,0,0,0,0,0,0,8
openwallet-foundation/acapy,2024-10,5,11,7,8,1,3,2,5,3,1,0,0,0,46
openwallet-foundation/acapy,2024-11,7,4,8,4,0,2,1,0,0,0,0,0,0,26
openwallet-foundation/acapy,2024-12,29,22,33,22,4,13,7,4,4,1,0,0,0,139
openwallet-foundation/acapy,2025-01,12,17,12,11,0,3,19,12,4,2,0,0,0,92
openwallet-foundation/acapy,2025-02,11,5,9,4,0,0,2,1,1,0,0,0,0,33
openwallet-foundation/acapy,2025-03,28,20,14,14,8,0,5,9,5,0,0,0,0,103
openwallet-foundation/acapy,2025-04,16,21,28,20,2,0,4,3,2,0,0,0,0,96
openwallet-foundation/acapy,2025-05,18,14,8,12,9,3,6,3,1,1,0,0,0,75
openwallet-foundation/acapy,2025-06,13,6,2,6,2,0,0,3,2,0,0,0,0,34
openwallet-foundation/acapy,2025-07,9,10,5,7,1,0,0,4,4,2,0,0,0,42
openwallet-foundation/acapy,2025-08,2,8,3,4,0,0,1,3,0,0,0,0,0,21
openwallet-foundation/acapy,2025-09,2,1,1,0,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/acapy,2025-10,6,2,2,1,0,0,0,0,1,0,0,0,0,12
openwallet-foundation/acapy,2025-11,3,1,2,3,0,0,1,1,1,0,0,0,0,12
openwallet-foundation/acapy,2025-12,1,0,1,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy,2026-01,2,3,5,12,1,1,3,0,1,0,0,0,0,28
openwallet-foundation/acapy,2026-02,5,1,6,8,0,2,1,0,3,0,0,0,0,26
openwallet-foundation/acapy,2026-03,4,4,1,10,2,1,3,0,0,0,0,0,0,25
openwallet-foundation/acapy,2026-04,1,0,1,9,0,0,4,4,0,0,0,0,0,19
openwallet-foundation/acapy,2026-05,0,0,0,5,0,0,5,0,0,0,0,0,0,10
hyperledger/aries-acapy-docs,2023-02,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-acapy-docs,2023-03,10,24,2,12,4,0,6,8,6,0,0,0,0,72
hyperledger/aries-acapy-docs,2023-04,0,31,1,23,4,0,23,24,18,0,0,0,0,124
hyperledger/aries-acapy-docs,2023-05,0,1,0,0,2,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-docs,2023-06,2,3,3,2,0,4,0,1,0,0,0,0,0,15
hyperledger/aries-acapy-docs,2023-07,0,24,0,12,0,0,4,9,7,0,0,0,0,56
hyperledger/aries-acapy-docs,2023-08,0,10,0,11,0,0,3,5,3,2,0,0,0,34
hyperledger/aries-acapy-docs,2023-09,0,15,0,7,0,0,4,13,8,0,0,0,0,47
hyperledger/aries-acapy-docs,2023-10,0,24,0,16,0,0,12,16,10,0,0,0,0,78
hyperledger/aries-acapy-docs,2023-11,0,23,0,12,0,0,6,7,7,1,0,0,0,56
hyperledger/aries-acapy-docs,2024-01,0,3,0,2,1,0,0,2,0,0,0,0,0,8
hyperledger/aries-acapy-docs,2024-02,0,2,0,1,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-docs,2024-03,1,6,0,3,1,0,3,3,2,0,0,0,0,19
hyperledger/aries-acapy-docs,2024-04,1,23,0,13,1,0,8,11,7,0,0,0,0,64
hyperledger/aries-acapy-docs,2024-05,0,15,2,7,0,0,2,2,2,3,0,0,0,33
hyperledger/aries-acapy-docs,2024-07,0,20,0,16,0,0,3,9,8,0,0,0,0,56
hyperledger/aries-acapy-docs,2024-08,0,4,0,2,0,0,0,1,1,1,0,0,0,9
hyperledger/aries-acapy-docs,2025-01,0,2,0,1,0,0,1,1,0,0,0,0,0,5
hyperledger/anoncreds-spec,2022-11,16,12,14,8,0,8,1,1,0,1,0,0,0,61
hyperledger/anoncreds-spec,2022-12,22,8,4,5,3,1,0,0,0,0,0,0,0,43
hyperledger/anoncreds-spec,2023-01,23,10,18,6,3,13,0,0,0,0,0,0,0,73
hyperledger/anoncreds-spec,2023-02,7,3,2,2,3,0,0,0,0,0,0,0,0,17
hyperledger/anoncreds-spec,2023-03,4,3,1,3,4,0,0,0,0,0,0,0,0,15
hyperledger/anoncreds-spec,2023-05,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-spec,2023-06,1,0,9,0,0,8,0,0,0,0,0,0,0,18
hyperledger/anoncreds-spec,2023-07,8,3,14,2,2,11,0,0,0,0,0,0,0,40
hyperledger/anoncreds-spec,2023-08,0,11,26,10,0,16,0,0,0,1,0,0,0,64
hyperledger/anoncreds-spec,2023-09,0,2,1,1,0,1,0,0,0,0,0,0,0,5
hyperledger/anoncreds-spec,2023-10,2,3,5,1,0,3,0,1,0,0,0,0,0,15
hyperledger/anoncreds-spec,2023-11,11,19,26,12,1,19,0,0,0,0,0,0,0,88
hyperledger/anoncreds-spec,2023-12,24,4,2,1,20,1,0,0,0,0,0,0,0,52
hyperledger/anoncreds-spec,2024-01,2,2,13,2,1,12,0,0,0,0,0,0,0,32
hyperledger/anoncreds-spec,2024-02,1,1,1,1,0,0,0,0,0,0,0,0,0,4
hyperledger/anoncreds-spec,2024-03,1,2,1,2,0,0,0,0,0,0,0,0,0,6
hyperledger/anoncreds-spec,2025-04,0,1,1,1,2,0,0,0,0,0,0,0,0,5
hyperledger/anoncreds-spec,2025-12,0,0,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/toc,2023-02,1,2,13,0,1,9,0,0,0,1,0,0,0,27
hyperledger/toc,2023-03,1,1,8,0,0,4,0,0,0,0,0,0,0,14
hyperledger/toc,2023-04,0,1,4,1,0,0,0,0,0,0,0,0,0,6
hyperledger/toc,2023-05,1,3,5,0,0,2,0,0,0,0,0,0,0,11
hyperledger/toc,2023-06,1,0,5,0,0,2,0,0,0,0,0,0,0,8
hyperledger/toc,2023-07,0,0,6,0,0,0,0,0,0,0,0,0,0,6
hyperledger/toc,2023-08,2,3,6,0,0,3,0,0,0,0,0,0,0,14
hyperledger/toc,2023-09,5,1,3,0,0,0,0,0,0,0,0,0,0,9
hyperledger/toc,2023-10,0,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/toc,2023-11,1,3,10,0,0,8,0,0,0,0,0,0,0,22
hyperledger/toc,2023-12,5,0,2,0,0,0,0,0,0,0,0,0,0,7
hyperledger/toc,2024-01,2,3,1,1,0,0,0,0,0,0,0,0,0,7
hyperledger/toc,2024-02,4,1,27,0,0,22,0,0,0,0,0,0,0,54
hyperledger/toc,2024-03,2,1,2,0,0,2,0,0,0,0,0,0,0,7
hyperledger/toc,2024-04,0,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/toc,2024-05,2,3,6,0,0,2,0,0,0,0,0,0,0,13
hyperledger/toc,2024-06,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/toc,2024-07,1,3,10,0,0,2,0,0,0,0,0,0,0,16
hyperledger/toc,2024-08,2,3,20,0,0,18,0,0,0,0,0,0,0,43
hyperledger/toc,2024-09,0,0,3,0,0,2,0,0,0,0,0,0,0,5
hyperledger/toc,2024-10,0,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-controllers,2020-02,2,5,0,2,1,0,0,0,0,0,0,0,0,10
hyperledger/aries-acapy-controllers,2020-03,2,3,0,1,1,0,0,0,0,0,0,0,0,7
hyperledger/aries-acapy-controllers,2020-05,0,1,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-acapy-controllers,2020-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-controllers,2020-07,1,1,0,1,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-controllers,2021-05,3,3,4,3,1,0,3,0,0,0,0,0,0,17
hyperledger/aries-acapy-controllers,2021-08,0,4,4,8,0,0,5,1,0,0,0,0,0,22
hyperledger/aries-acapy-controllers,2021-09,0,2,4,2,0,0,2,0,0,0,0,0,0,10
hyperledger/aries-acapy-controllers,2021-10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-controllers,2021-11,2,1,1,1,2,0,1,0,0,0,0,0,0,8
hyperledger/aries-acapy-controllers,2021-12,0,1,1,1,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-controllers,2022-01,1,0,0,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-acapy-controllers,2022-02,0,3,13,8,0,0,6,0,0,0,0,0,0,30
hyperledger/aries-acapy-controllers,2022-03,0,2,2,2,0,0,2,0,0,0,0,0,0,8
hyperledger/aries-acapy-controllers,2022-04,0,2,2,2,0,0,2,0,0,0,0,0,0,8
hyperledger/aries-acapy-controllers,2022-05,1,1,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-acapy-controllers,2022-11,0,1,1,2,0,0,1,0,0,0,0,0,0,5
hyperledger/aries-acapy-controllers,2022-12,1,8,9,11,4,0,6,0,0,1,0,0,0,40
hyperledger/aries-acapy-controllers,2023-02,0,3,4,4,0,0,4,0,0,0,0,0,0,15
hyperledger/aries-acapy-controllers,2023-05,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-controllers,2023-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-controllers,2023-11,1,2,2,2,0,0,0,0,0,0,0,0,0,7
hyperledger/aries-acapy-controllers,2024-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-controllers,2024-02,0,3,2,4,0,0,3,0,0,0,0,0,0,12
hyperledger/aries-acapy-controllers,2024-03,0,4,4,4,0,0,4,0,0,0,0,0,0,16
hyperledger/aries-acapy-controllers,2024-05,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-controllers,2024-07,6,7,5,10,0,0,2,0,0,0,0,0,0,30
hyperledger/anoncreds-rs,2022-11,6,0,1,1,1,0,0,0,0,0,0,0,0,9
hyperledger/anoncreds-rs,2022-12,2,0,0,0,1,0,0,0,0,0,0,0,0,3
