repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,ForkEvent,MemberEvent,total
hyperledger/indy-node,2022-11,1,0,0,1,0,1,0,0,0,0,0,3
hyperledger/indy-node,2022-12,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/indy-node,2023-01,1,1,4,2,0,0,1,0,0,0,0,9
hyperledger/indy-node,2023-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2023-03,2,4,3,3,0,0,0,0,0,0,0,12
hyperledger/indy-node,2023-04,2,9,3,3,4,1,2,2,0,0,0,26
hyperledger/indy-node,2023-05,19,0,6,0,3,7,0,0,0,0,0,35
hyperledger/indy-node,2023-06,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-node,2023-09,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-node,2023-10,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/indy-node,2023-11,6,1,4,3,0,0,0,0,0,0,0,14
hyperledger/indy-node,2023-12,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-node,2024-01,1,0,1,0,0,1,0,0,0,0,0,3
hyperledger/indy-node,2024-02,23,2,12,5,0,2,3,4,0,0,0,51
hyperledger/indy-node,2024-03,15,1,2,2,0,1,0,1,0,0,0,22
hyperledger/indy-node,2024-04,1,0,1,0,0,1,0,0,0,0,0,3
hyperledger/indy-node,2024-05,10,1,8,0,0,0,0,0,0,0,0,19
hyperledger/indy-node,2024-06,3,0,0,0,0,0,1,0,0,0,0,4
hyperledger/indy-node,2024-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2024-08,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2024-09,1,0,4,0,0,0,0,0,0,0,0,5
hyperledger/indy-node,2024-10,0,0,5,0,0,0,0,0,0,0,0,5
hyperledger/indy-node,2024-11,0,1,6,1,0,0,0,1,0,0,0,9
hyperledger/indy-node,2024-12,0,2,5,0,0,0,0,0,0,0,0,7
hyperledger/indy-node,2025-01,0,2,4,0,0,1,0,0,0,0,0,7
hyperledger/indy-node,2025-02,11,7,11,4,2,2,0,0,0,0,0,37
hyperledger/indy-plenum,2020-08,0,0,2,1,0,0,1,0,0,1,0,5
hyperledger/indy-plenum,2020-10,1,0,1,1,0,1,0,0,0,0,0,4
hyperledger/indy-plenum,2021-01,4,0,1,0,0,0,0,0,0,0,0,5
hyperledger/indy-plenum,2021-02,17,13,3,1,8,0,0,0,0,0,0,42
hyperledger/indy-plenum,2021-03,30,23,8,6,9,1,0,0,0,0,0,77
hyperledger/indy-plenum,2021-04,14,11,5,5,3,2,0,0,0,0,0,40
hyperledger/indy-plenum,2021-05,1,3,0,0,1,0,0,0,0,0,0,5
hyperledger/indy-plenum,2021-06,5,0,0,0,0,0,1,0,0,0,0,6
hyperledger/indy-plenum,2021-07,30,6,4,4,0,10,1,1,0,0,0,56
hyperledger/indy-plenum,2021-08,2,5,6,6,1,0,0,0,0,0,0,20
hyperledger/indy-plenum,2021-09,4,4,4,4,0,0,0,0,0,0,0,16
hyperledger/indy-plenum,2021-11,13,10,6,8,1,1,0,0,0,0,0,39
hyperledger/indy-plenum,2021-12,1,1,1,1,0,0,0,0,0,0,0,4
hyperledger/indy-plenum,2022-01,2,2,1,1,0,1,0,0,0,0,1,8
hyperledger/indy-plenum,2022-03,1,9,4,5,1,2,0,0,0,0,0,22
hyperledger/indy-plenum,2022-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2022-05,1,12,4,4,10,3,0,0,0,0,0,34
hyperledger/indy-plenum,2022-06,0,6,6,6,0,0,2,20,0,0,0,40
hyperledger/indy-plenum,2022-07,5,0,8,6,0,0,1,1,0,0,0,21
hyperledger/indy-plenum,2022-08,4,1,2,1,0,0,1,0,0,0,0,9
hyperledger/indy-plenum,2022-10,1,3,3,3,0,1,1,2,0,0,0,14
hyperledger/indy-plenum,2022-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2022-12,1,4,2,1,0,0,0,0,0,0,0,8
hyperledger/indy-plenum,2023-01,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2023-02,3,1,2,2,0,0,1,0,0,0,0,9
hyperledger/indy-plenum,2023-03,1,1,1,1,0,0,0,0,0,0,0,4
hyperledger/indy-plenum,2023-04,0,6,3,2,3,0,1,2,0,0,0,17
hyperledger/indy-plenum,2023-05,6,0,10,0,0,5,0,10,0,0,0,31
hyperledger/indy-plenum,2023-06,5,1,0,0,0,3,0,0,0,0,0,9
hyperledger/indy-plenum,2023-11,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-plenum,2023-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2024-01,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-plenum,2024-02,11,4,11,8,0,1,1,2,0,0,0,38
hyperledger/indy-plenum,2024-03,0,1,0,0,0,0,0,1,0,0,0,2
hyperledger/indy-plenum,2024-04,7,3,4,1,1,0,1,0,0,0,0,17
hyperledger/indy-plenum,2024-05,5,1,5,1,0,0,0,0,0,0,0,12
hyperledger/indy-plenum,2024-06,6,3,3,2,0,1,1,1,0,0,0,17
hyperledger/indy-plenum,2024-07,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2024-09,0,2,5,1,0,0,0,0,0,0,0,8
hyperledger/indy-plenum,2024-10,0,0,4,0,0,0,0,0,0,0,0,4
hyperledger/indy-plenum,2024-11,0,1,5,1,0,0,0,1,0,0,0,8
hyperledger/indy-plenum,2024-12,0,1,4,0,0,0,0,0,0,0,0,5
hyperledger/indy-plenum,2025-01,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2025-02,5,9,5,1,6,2,0,1,0,0,0,29
hyperledger/indy-plenum,2025-03,2,5,5,0,2,0,0,0,0,0,0,14
hyperledger/indy-plenum,2025-04,6,1,3,0,0,0,0,0,0,0,0,10
hyperledger/indy-plenum,2025-05,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2025-06,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2025-07,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2019-07,3,0,2,0,0,1,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2019-11,2,0,0,0,0,1,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2019-12,4,0,1,0,0,1,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2020-01,4,0,1,0,0,0,0,0,0,0,0,5
hyperledger/aries-cloudagent-python,2020-02,2,0,0,0,0,1,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2020-05,9,0,0,0,0,0,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2020-06,7,0,0,0,0,0,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2020-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-08,9,0,0,0,1,0,0,0,0,0,0,10
hyperledger/aries-cloudagent-python,2020-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-10,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2020-11,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-02,5,0,2,1,0,1,1,1,0,0,0,11
hyperledger/aries-cloudagent-python,2021-04,1,0,0,0,0,2,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2021-08,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-11,15,0,0,0,0,0,0,0,0,0,0,15
hyperledger/aries-cloudagent-python,2021-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-02,8,0,2,1,0,0,0,0,0,0,0,11
hyperledger/aries-cloudagent-python,2022-04,2,2,1,1,0,1,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2022-06,2,4,0,0,2,1,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2022-07,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-08,8,2,1,1,0,0,0,1,0,0,0,13
hyperledger/aries-cloudagent-python,2022-09,4,1,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-cloudagent-python,2022-10,2,3,1,2,0,1,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2022-11,3,3,0,0,12,0,0,0,0,0,0,18
hyperledger/aries-cloudagent-python,2022-12,7,5,2,2,2,0,0,0,0,0,0,18
hyperledger/aries-cloudagent-python,2023-01,15,5,1,1,1,2,0,0,0,0,0,25
hyperledger/aries-cloudagent-python,2023-02,17,14,6,2,9,4,1,1,0,0,0,54
hyperledger/aries-cloudagent-python,2023-03,13,5,1,1,0,1,0,0,0,0,0,21
hyperledger/aries-cloudagent-python,2023-04,18,3,1,1,0,4,0,0,0,0,0,27
hyperledger/aries-cloudagent-python,2023-05,9,3,0,0,5,0,0,0,0,0,0,17
hyperledger/aries-cloudagent-python,2023-06,11,5,0,0,0,1,0,0,0,0,0,17
hyperledger/aries-cloudagent-python,2023-07,27,11,2,2,2,2,0,0,0,0,0,46
hyperledger/aries-cloudagent-python,2023-08,41,3,2,1,0,4,0,0,0,0,0,51
hyperledger/aries-cloudagent-python,2023-09,47,5,1,0,0,4,1,0,0,0,0,58
hyperledger/aries-cloudagent-python,2023-10,14,0,0,0,0,3,0,0,0,0,0,17
hyperledger/aries-cloudagent-python,2023-11,13,4,1,1,0,0,0,0,0,0,0,19
hyperledger/aries-cloudagent-python,2023-12,9,2,1,1,0,1,0,0,0,0,0,14
hyperledger/aries-cloudagent-python,2024-01,8,5,2,1,1,0,0,0,0,0,0,17
hyperledger/aries-cloudagent-python,2024-02,10,6,2,1,0,0,0,0,0,0,0,19
hyperledger/aries-cloudagent-python,2024-03,9,10,1,1,0,0,0,1,0,0,0,22
hyperledger/aries-cloudagent-python,2024-04,1,4,3,3,1,0,0,0,0,0,0,12
hyperledger/aries-cloudagent-python,2024-05,41,13,4,3,9,0,0,0,0,0,0,70
hyperledger/aries-cloudagent-python,2024-06,4,2,1,1,0,1,0,0,0,0,0,9
hyperledger/aries-cloudagent-python,2024-08,4,3,0,0,0,0,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2024-09,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-10,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2019-09,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-sdk,2020-09,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2020-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2020-11,3,2,0,0,0,0,0,0,0,0,0,5
hyperledger/indy-sdk,2020-12,8,6,2,0,4,0,0,0,0,0,0,20
hyperledger/indy-sdk,2021-02,3,2,0,0,2,0,0,0,0,0,0,7
hyperledger/indy-sdk,2021-03,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2021-04,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2021-05,2,2,5,3,0,1,0,0,0,0,0,13
hyperledger/indy-sdk,2021-06,6,1,1,1,0,0,0,0,0,0,0,9
hyperledger/indy-sdk,2021-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2021-11,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2021-12,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2022-01,28,7,6,3,1,4,0,0,0,0,0,49
hyperledger/indy-sdk,2022-02,12,6,8,6,0,1,0,3,0,0,0,36
hyperledger/indy-sdk,2022-03,6,7,4,4,1,2,0,0,0,0,0,24
hyperledger/indy-sdk,2022-04,6,1,1,1,0,0,0,1,0,0,0,10
hyperledger/indy-sdk,2022-05,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2022-06,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/indy-sdk,2022-08,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2022-10,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2022-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2023-01,1,0,1,1,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2023-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2023-07,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2023-10,5,1,2,1,1,3,0,0,0,0,0,13
hyperledger/indy-test-automation,2020-05,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-test-automation,2021-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2021-04,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2021-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2021-06,2,4,2,1,0,0,3,0,3,0,0,15
hyperledger/indy-test-automation,2021-08,0,0,0,0,0,0,2,2,0,0,0,4
hyperledger/indy-test-automation,2021-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2022-01,1,5,3,3,1,2,0,0,0,0,0,15
hyperledger/indy-test-automation,2022-03,7,0,0,0,0,0,0,0,0,0,0,7
hyperledger/indy-test-automation,2022-05,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-test-automation,2022-06,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-test-automation,2022-07,0,0,0,3,0,0,6,4,0,0,0,13
hyperledger/indy-test-automation,2022-12,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2023-01,2,4,5,2,6,0,6,5,0,0,0,30
hyperledger/indy-test-automation,2023-02,1,2,0,0,1,0,0,0,0,0,0,4
hyperledger/indy-test-automation,2023-03,2,11,5,5,12,1,3,0,0,0,0,39
hyperledger/indy-test-automation,2024-02,2,0,9,2,0,0,9,6,0,0,0,28
hyperledger/indy-test-automation,2024-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2024-05,6,1,7,1,0,3,0,0,0,0,0,18
hyperledger/indy-test-automation,2025-01,11,4,4,2,0,6,1,1,0,0,0,29
hyperledger/indy-test-automation,2025-04,0,1,2,1,0,0,0,0,0,0,0,4
hyperledger/indy-test-automation,2025-11,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-shared-gha,2022-03,0,0,1,0,0,0,0,0,0,1,0,2
hyperledger/indy-shared-gha,2022-05,1,4,7,6,4,1,4,2,1,0,0,30
hyperledger/indy-shared-gha,2022-06,0,0,2,1,0,0,4,2,1,0,0,10
hyperledger/indy-shared-gha,2022-07,0,1,1,1,0,0,1,1,1,0,0,6
hyperledger/indy-shared-gha,2022-08,0,6,2,2,1,0,4,2,2,0,0,19
hyperledger/indy-shared-gha,2022-10,0,4,5,6,0,0,8,4,5,0,0,32
hyperledger/indy-shared-gha,2023-04,0,6,2,4,1,0,6,2,1,0,0,22
hyperledger/indy-shared-gha,2024-02,0,0,5,7,0,0,12,8,3,0,0,35
hyperledger/indy-shared-gha,2024-04,1,2,4,8,0,0,6,3,4,0,0,28
hyperledger/indy-shared-gha,2024-05,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/indy-shared-gha,2024-06,0,1,1,1,0,0,0,1,0,0,0,4
hyperledger/indy-node-monitor,2020-08,2,0,3,1,0,0,0,0,0,1,0,7
hyperledger/indy-node-monitor,2020-09,7,0,3,0,0,0,0,0,0,0,0,10
hyperledger/indy-node-monitor,2020-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-node-monitor,2020-12,1,1,1,1,0,0,0,0,0,0,0,4
hyperledger/indy-node-monitor,2021-02,4,0,0,0,0,1,0,0,0,0,0,5
hyperledger/indy-node-monitor,2021-03,14,2,2,2,0,5,1,0,0,0,0,26
hyperledger/indy-node-monitor,2021-05,0,1,2,0,0,0,0,0,0,0,0,3
hyperledger/indy-node-monitor,2021-11,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node-monitor,2021-12,1,1,1,1,0,1,1,0,1,0,0,7
hyperledger/indy-node-monitor,2022-01,0,1,2,2,0,0,0,0,0,0,0,5
hyperledger/indy-node-monitor,2022-02,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/indy-node-monitor,2022-08,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/indy-node-monitor,2022-10,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/indy-node-monitor,2022-11,4,1,2,2,0,2,1,2,0,0,0,14
hyperledger/indy-node-monitor,2022-12,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/indy-node-monitor,2023-01,0,1,2,2,0,0,0,0,0,0,0,5
hyperledger/indy-node-monitor,2023-02,0,3,1,1,1,0,0,0,0,0,0,6
hyperledger/indy-node-monitor,2023-03,2,4,4,3,0,0,0,0,0,0,0,13
hyperledger/indy-node-monitor,2023-04,2,5,2,2,3,0,0,0,0,0,0,14
hyperledger/indy-node-monitor,2023-05,1,5,1,1,4,0,0,0,0,0,0,12
hyperledger/indy-node-monitor,2023-07,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/indy-node-monitor,2023-10,0,3,1,1,1,0,0,0,0,0,0,6
hyperledger/indy-node-monitor,2024-03,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/indy-node-monitor,2024-04,0,0,2,1,0,0,2,0,2,0,0,7
hyperledger/indy-node-monitor,2024-05,0,2,2,2,0,0,0,0,0,0,0,6
hyperledger/indy-node-monitor,2024-07,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node-monitor,2024-09,2,1,1,1,0,0,0,0,0,0,0,5
hyperledger/indy-node-monitor,2024-10,2,3,0,0,1,0,1,0,0,0,0,7
hyperledger/aries-agent-test-harness,2020-11,1,7,0,0,1,0,0,0,0,0,0,9
hyperledger/aries-agent-test-harness,2020-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2021-07,0,0,0,0,0,0,1,1,0,0,0,2
hyperledger/aries-agent-test-harness,2021-09,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-agent-test-harness,2021-12,3,0,2,0,0,1,0,0,0,0,0,6
hyperledger/aries-agent-test-harness,2022-01,1,0,0,3,0,0,1,0,0,0,0,5
hyperledger/aries-agent-test-harness,2022-03,18,1,5,1,0,0,0,1,0,0,0,26
hyperledger/aries-agent-test-harness,2022-04,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-agent-test-harness,2022-05,2,5,1,1,0,0,0,0,0,0,0,9
hyperledger/aries-agent-test-harness,2022-09,0,0,1,2,0,0,0,1,0,0,0,4
hyperledger/aries-agent-test-harness,2022-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2022-11,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2022-12,2,0,2,0,0,1,0,0,0,0,0,5
hyperledger/aries-agent-test-harness,2023-03,3,0,0,0,0,2,0,0,0,0,0,5
hyperledger/aries-agent-test-harness,2023-05,1,1,0,0,1,1,0,0,0,0,0,4
hyperledger/aries-agent-test-harness,2023-06,5,0,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-agent-test-harness,2023-07,5,0,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-agent-test-harness,2023-08,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/aries-agent-test-harness,2024-01,0,3,1,1,1,2,0,0,0,0,0,8
hyperledger/aries-agent-test-harness,2024-02,1,1,2,1,0,0,0,0,0,0,0,5
hyperledger/aries-agent-test-harness,2024-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2024-08,0,2,0,1,1,0,0,0,0,0,0,4
hyperledger/indy-cli-rs,2023-01,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-cli-rs,2023-02,9,17,2,2,5,2,0,0,0,0,0,37
hyperledger/indy-cli-rs,2024-02,9,0,1,0,0,1,0,0,0,0,0,11
hyperledger/indy-cli-rs,2024-03,7,2,7,5,0,2,0,0,0,0,0,23
hyperledger/indy-cli-rs,2024-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-cli-rs,2024-05,1,2,0,0,0,1,0,0,0,0,0,4
hyperledger/aries-acapy-plugins,2023-10,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugins,2023-11,3,1,0,0,0,0,0,0,0,1,0,5
hyperledger/aries-acapy-plugins,2023-12,4,3,1,0,2,0,0,0,0,0,0,10
hyperledger/aries-acapy-plugins,2024-02,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-plugins,2024-03,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/aries-acapy-plugins,2024-04,3,6,1,0,6,0,0,0,0,0,0,16
hyperledger/aries-acapy-plugins,2024-05,5,7,1,1,1,0,0,0,0,0,0,15
hyperledger/aries-acapy-plugins,2024-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mediator-service,2021-12,0,0,2,0,0,0,0,0,0,1,0,3
hyperledger/aries-mediator-service,2023-02,0,5,1,1,1,0,0,0,0,0,0,8
hyperledger/aries-mediator-service,2023-03,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-mediator-service,2023-04,2,1,0,1,0,0,0,0,0,0,0,4
hyperledger/aries-mediator-service,2023-05,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-mediator-service,2023-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mediator-service,2023-09,4,2,1,1,1,0,0,0,0,0,0,9
hyperledger/aries-mediator-service,2023-12,1,0,4,1,0,0,0,0,0,0,0,6
hyperledger/aries-mediator-service,2024-01,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/aries-mediator-service,2024-02,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-mediator-service,2024-03,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger/aries-mediator-service,2024-04,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/aries-mediator-service,2024-05,2,3,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-mediator-service,2024-08,1,0,1,1,0,0,0,0,0,0,0,3
hyperledger/aries-endorser-service,2022-12,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-endorser-service,2023-07,7,0,0,0,0,0,0,0,0,0,0,7
hyperledger/aries-endorser-service,2023-08,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/aries-endorser-service,2023-10,3,1,2,1,0,0,0,0,0,0,0,7
hyperledger/aries-endorser-service,2024-01,1,4,1,1,2,0,0,0,0,0,0,9
hyperledger/aries-endorser-service,2024-03,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-endorser-service,2024-09,0,5,1,1,5,2,0,0,0,0,0,14
hyperledger/indy-vdr,2020-08,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-vdr,2020-09,2,1,1,1,0,1,0,0,0,0,0,6
hyperledger/indy-vdr,2022-10,5,0,0,0,0,1,0,0,0,0,0,6
hyperledger/indy-vdr,2022-11,4,0,1,1,0,1,0,0,0,0,0,7
hyperledger/indy-vdr,2023-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-vdr,2024-02,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-vdr,2024-03,0,1,0,1,0,0,0,1,0,0,0,3
hyperledger/indy-vdr,2024-04,0,1,1,1,0,0,0,1,0,0,0,4
hyperledger/indy-vdr,2024-05,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-vdr,2025-02,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/indy-vdr,2025-03,0,3,0,1,3,0,0,0,0,0,0,7
openwallet-foundation/acapy,2024-10,2,3,0,0,0,0,0,0,0,0,0,5
openwallet-foundation/acapy,2024-12,6,3,0,0,0,0,0,0,0,0,0,9
openwallet-foundation/acapy,2025-02,2,1,2,1,0,0,0,0,0,0,0,6
openwallet-foundation/acapy,2025-03,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-04,2,7,2,2,1,0,0,0,0,0,0,14
openwallet-foundation/acapy,2025-05,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-09,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-11,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2021-02,1,8,0,0,8,0,0,0,0,0,0,17
hyperledger/indy-hipe,2021-03,0,4,0,1,3,0,0,0,0,0,0,8
hyperledger/indy-hipe,2024-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-docs,2023-03,0,3,1,1,0,0,0,0,0,0,0,5
hyperledger/aries-acapy-docs,2023-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-docs,2023-05,0,1,1,1,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-docs,2023-06,0,5,0,0,10,0,0,0,0,0,0,15
