repo,month,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,PushEvent,IssueCommentEvent,IssuesEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hyperledger/firefly-transaction-manager,2024-04,9,3,4,0,0,2,6,1,1,0,0,26
hyperledger/firefly-transaction-manager,2024-05,3,3,2,3,1,0,0,0,1,0,0,13
hyperledger/firefly-transaction-manager,2024-06,4,2,3,17,29,0,1,0,1,0,0,57
hyperledger/firefly-transaction-manager,2024-07,2,3,0,0,0,2,1,0,0,0,0,8
hyperledger/firefly-transaction-manager,2024-09,0,1,0,1,0,0,0,0,1,0,0,3
hyperledger/firefly-transaction-manager,2024-11,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/firefly-transaction-manager,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-transaction-manager,2025-02,15,2,14,3,1,0,0,0,1,0,0,36
hyperledger/firefly-transaction-manager,2025-04,1,3,0,0,1,0,3,0,0,0,0,8
hyperledger/firefly-transaction-manager,2025-07,1,6,0,7,10,1,1,0,0,0,0,26
hyperledger/firefly-transaction-manager,2025-08,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/firefly-transaction-manager,2025-09,5,2,4,2,3,1,2,0,0,0,0,19
hyperledger/firefly-transaction-manager,2025-10,1,0,0,0,1,3,0,0,0,0,0,5
hyperledger/firefly-transaction-manager,2025-11,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly-transaction-manager,2025-12,0,0,0,1,0,1,0,1,0,0,0,3
hyperledger/firefly-transaction-manager,2026-01,1,0,1,0,0,1,0,0,1,0,0,4
hyperledger/firefly-transaction-manager,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-transaction-manager,2026-04,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2022-08,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/firefly-evmconnect,2022-10,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-evmconnect,2023-02,0,0,0,2,1,0,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2023-03,0,3,0,7,5,1,0,0,1,0,0,17
hyperledger/firefly-evmconnect,2023-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2023-06,0,1,0,7,4,0,0,0,1,0,0,13
hyperledger/firefly-evmconnect,2023-07,0,2,0,2,0,0,0,0,0,0,0,4
hyperledger/firefly-evmconnect,2023-08,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2024-01,1,2,0,0,10,1,1,0,0,0,0,15
hyperledger/firefly-evmconnect,2024-02,2,2,0,0,0,1,0,0,0,0,0,5
hyperledger/firefly-evmconnect,2024-03,3,3,0,1,1,4,2,0,1,0,0,15
hyperledger/firefly-evmconnect,2024-04,3,2,0,0,1,3,1,0,0,0,0,10
hyperledger/firefly-evmconnect,2024-05,0,2,0,5,5,1,1,1,1,0,0,16
hyperledger/firefly-evmconnect,2024-06,2,4,0,23,18,1,1,0,5,0,0,54
hyperledger/firefly-evmconnect,2024-07,3,2,0,0,0,3,0,0,0,0,0,8
hyperledger/firefly-evmconnect,2024-08,5,4,3,0,0,2,5,0,0,0,0,19
hyperledger/firefly-evmconnect,2024-09,5,3,4,1,0,2,5,1,1,0,0,22
hyperledger/firefly-evmconnect,2024-11,3,1,4,0,0,1,1,0,0,0,0,10
hyperledger/firefly-evmconnect,2024-12,3,4,2,1,0,1,2,0,1,0,0,14
hyperledger/firefly-evmconnect,2025-01,0,0,0,0,0,0,2,1,0,0,0,3
hyperledger/firefly-evmconnect,2025-02,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2025-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2025-04,2,2,0,0,1,3,0,0,0,0,0,8
hyperledger/firefly-evmconnect,2025-06,1,1,0,0,0,1,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2025-08,0,3,0,0,1,0,0,0,0,0,0,4
hyperledger/firefly-evmconnect,2025-09,6,0,5,3,1,0,0,0,0,0,0,15
hyperledger/firefly-evmconnect,2025-10,0,0,1,2,1,1,0,0,0,0,0,5
hyperledger/firefly-evmconnect,2025-11,0,0,1,1,2,2,0,0,0,0,0,6
hyperledger/firefly-evmconnect,2025-12,0,0,1,1,1,0,0,0,1,0,0,4
hyperledger/firefly-evmconnect,2026-01,1,0,0,2,3,1,0,0,0,0,0,7
hyperledger/firefly-evmconnect,2026-02,0,0,0,0,0,2,0,4,1,0,0,7
hyperledger/firefly-evmconnect,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2026-04,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/firefly-evmconnect,2026-05,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/firefly,2022-07,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/firefly,2022-08,0,3,0,0,0,0,3,0,0,1,0,7
hyperledger/firefly,2022-09,3,3,2,0,0,2,1,0,0,0,0,11
hyperledger/firefly,2022-10,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly,2022-12,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly,2023-02,0,3,0,2,1,1,0,1,1,0,0,9
hyperledger/firefly,2023-03,0,1,0,1,0,0,2,1,0,0,0,5
hyperledger/firefly,2023-04,0,4,0,3,3,0,2,1,1,0,0,14
hyperledger/firefly,2023-06,3,0,2,1,0,0,2,0,0,0,0,8
hyperledger/firefly,2023-09,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly,2023-10,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/firefly,2023-12,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2024-04,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly,2024-08,0,0,0,0,0,0,1,1,0,0,0,2
hyperledger/firefly,2025-01,8,0,59,0,0,0,2,1,0,0,0,70
hyperledger/firefly,2025-02,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/firefly,2025-03,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-common,2022-08,0,1,0,0,0,0,0,0,0,1,0,2
hyperledger/firefly-common,2023-03,0,5,0,10,9,1,1,0,0,0,0,26
hyperledger/firefly-common,2023-04,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/firefly-common,2023-06,5,11,3,3,3,1,3,2,0,0,0,31
hyperledger/firefly-common,2023-07,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2023-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2024-05,2,1,2,0,0,0,1,0,0,0,0,6
hyperledger/firefly-common,2024-06,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-common,2024-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2024-12,6,2,4,0,0,0,0,0,0,0,0,12
hyperledger/firefly-common,2025-01,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger/firefly-common,2025-02,8,0,7,0,0,0,1,0,0,0,0,16
hyperledger/firefly-common,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2025-04,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-common,2025-05,0,4,0,0,0,0,0,0,0,0,0,4
hyperledger/firefly-common,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-perf-cli,2023-06,0,4,0,2,2,0,1,0,0,0,0,9
hyperledger/firefly-perf-cli,2023-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-perf-cli,2023-11,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/firefly-perf-cli,2023-12,0,1,0,0,0,0,0,1,0,0,0,2
hyperledger/firefly-perf-cli,2024-01,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-perf-cli,2024-04,4,1,2,0,0,0,0,0,0,0,0,7
hyperledger/firefly-perf-cli,2024-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-perf-cli,2024-06,5,6,3,1,0,4,0,0,0,0,0,19
hyperledger/firefly-perf-cli,2024-07,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly-perf-cli,2024-08,1,4,0,1,3,2,2,1,0,0,0,14
LF-Decentralized-Trust-labs/paladin,2024-12,0,2,0,1,1,1,0,5,0,0,0,10
LF-Decentralized-Trust-labs/paladin,2025-01,0,0,0,0,0,0,1,0,0,0,0,1
LF-Decentralized-Trust-labs/paladin,2025-02,3,2,1,1,1,2,2,1,0,0,0,13
LF-Decentralized-Trust-labs/paladin,2025-03,3,0,0,0,0,0,0,1,0,0,0,4
LF-Decentralized-Trust-labs/paladin,2025-04,3,2,0,0,2,2,2,1,0,0,0,12
LF-Decentralized-Trust-labs/paladin,2025-05,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger/firefly-sdk-nodejs,2023-01,3,9,3,7,3,2,2,0,2,1,0,32
hyperledger/firefly-sdk-nodejs,2023-02,0,0,0,1,0,0,0,0,1,0,0,2
hyperledger/firefly-signer,2023-03,0,4,0,0,0,0,1,0,0,1,0,6
hyperledger/firefly-signer,2024-04,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/firefly-signer,2024-05,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger/firefly-signer,2024-06,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/firefly-signer,2024-08,6,1,6,0,0,0,1,0,0,0,0,14
hyperledger/firefly-signer,2025-03,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-tokens-erc1155,2022-08,1,7,0,2,0,0,3,0,0,1,0,14
hyperledger/firefly-tokens-erc1155,2023-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc1155,2024-04,0,3,0,0,0,0,0,0,0,0,0,3
LFDT-Paladin/zeto,2025-11,0,1,0,3,4,2,0,0,0,0,0,10
LFDT-Paladin/zeto,2025-12,1,0,0,0,0,1,0,0,0,0,0,2
LFDT-Paladin/zeto,2026-01,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/firefly-sandbox,2022-07,0,1,0,0,0,0,0,0,0,1,0,2
hyperledger/firefly-sandbox,2022-08,0,0,0,0,0,0,1,1,0,0,0,2
hyperledger/firefly-sandbox,2023-01,0,3,0,0,0,0,3,1,0,0,0,7
hyperledger/firefly-sandbox,2024-07,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc20-erc721,2022-08,0,2,0,1,0,0,0,0,0,1,0,4
hyperledger/firefly-tokens-erc20-erc721,2024-04,0,2,0,0,0,0,1,1,0,0,0,4
hyperledger/firefly-tokens-erc20-erc721,2026-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2023-07,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric-docs-i18n,2023-11,0,1,0,0,0,0,1,0,0,1,0,3
hyperledger/fabric-docs-i18n,2023-12,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/firefly-samples,2023-03,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-samples,2023-04,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/besu,2022-10,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/besu,2023-12,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/firefly-ui,2023-01,0,1,0,1,0,0,0,0,0,0,0,2
LFDT-Paladin/paladin,2025-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/caliper,2023-02,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/caliper-benchmarks,2023-11,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric,2022-08,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/firefly-cli,2024-11,0,0,0,0,0,0,0,1,0,0,0,1
