repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,GollumEvent,CommitCommentEvent,WatchEvent,DiscussionEvent,total
openwallet-foundation/didcomm-mediator-credo,2025-03,4,19,0,0,1,0,0,0,0,0,0,0,0,0,24
openwallet-foundation/didcomm-mediator-credo,2025-05,13,9,3,1,0,1,0,1,0,0,0,0,0,0,28
openwallet-foundation/didcomm-mediator-credo,2025-06,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/didcomm-mediator-credo,2025-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/didcomm-mediator-credo,2025-09,6,4,4,3,1,0,0,0,0,0,0,0,0,0,18
openwallet-foundation/didcomm-mediator-credo,2025-10,2,2,6,0,2,0,1,0,0,0,0,0,0,0,13
openwallet-foundation/didcomm-mediator-credo,2025-11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
openwallet-foundation/didcomm-mediator-credo,2025-12,5,3,3,0,2,0,0,0,0,0,0,0,0,0,13
openwallet-foundation/credo-ts-ext,2024-01,1,6,2,3,0,1,1,1,0,0,0,0,0,0,15
openwallet-foundation/credo-ts-ext,2024-02,1,0,1,3,0,0,0,0,0,0,0,0,0,0,5
openwallet-foundation/credo-ts-ext,2024-03,29,18,16,23,9,0,5,0,0,0,0,0,0,0,100
openwallet-foundation/credo-ts-ext,2024-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-ext,2024-06,6,4,1,0,2,0,0,0,0,0,0,0,0,0,13
openwallet-foundation/credo-ts-ext,2024-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-ext,2025-01,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3
openwallet-foundation/askar-wrapper-javascript,2025-01,10,0,1,10,3,2,0,1,0,0,0,0,0,0,27
openwallet-foundation/askar-wrapper-javascript,2025-02,0,0,3,4,0,1,0,2,0,0,0,0,0,0,10
openwallet-foundation/askar-wrapper-javascript,2025-03,3,0,4,4,3,1,1,2,0,0,0,0,0,0,18
openwallet-foundation/askar-wrapper-javascript,2025-04,0,0,0,0,1,6,0,0,0,0,0,0,0,0,7
openwallet-foundation/askar-wrapper-javascript,2025-05,0,0,3,0,1,1,0,1,0,0,0,0,0,0,6
openwallet-foundation/askar-wrapper-javascript,2025-09,4,1,1,3,7,1,1,0,1,0,0,0,0,0,19
openwallet-foundation/askar-wrapper-javascript,2025-10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/askar-wrapper-javascript,2025-11,1,0,0,0,3,1,1,1,0,0,0,0,0,0,7
openwallet-foundation/askar-wrapper-javascript,2025-12,1,0,2,2,5,3,1,1,0,0,0,0,0,0,15
openwallet-foundation/askar-wrapper-javascript,2026-01,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5
openwallet-foundation/askar-wrapper-javascript,2026-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar-wrapper-javascript,2026-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2024-01,8,15,9,8,0,0,0,0,0,0,0,0,0,0,40
openwallet-foundation/credo-ts-docs,2024-02,5,3,3,4,2,0,1,0,0,0,0,0,0,0,18
openwallet-foundation/credo-ts-docs,2024-06,7,5,1,4,2,0,0,0,0,0,0,0,0,0,19
openwallet-foundation/credo-ts-docs,2024-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/credo-ts-docs,2024-12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/credo-ts-docs,2025-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts-docs,2025-07,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/credo-ts-docs,2025-12,1,0,2,0,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/credo-ts-docs,2026-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-01,1,0,2,4,1,3,0,3,1,0,0,0,0,0,15
hyperledger/aries-askar,2024-02,0,0,0,1,4,2,0,1,0,0,0,0,0,0,8
hyperledger/aries-askar,2024-03,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-askar,2024-04,1,0,3,2,5,0,0,1,0,0,0,0,0,0,12
hyperledger/aries-askar,2024-05,7,2,1,1,5,0,0,0,0,0,0,0,0,0,16
hyperledger/aries-askar,2024-06,4,0,2,7,4,0,1,0,0,0,0,0,0,0,18
hyperledger/aries-askar,2024-07,9,1,0,0,1,0,0,0,0,0,0,0,0,0,11
hyperledger/aries-askar,2024-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-09,1,0,0,0,3,1,0,0,0,0,0,0,0,0,5
hyperledger/aries-askar,2024-10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
hyperledger/indy-vdr,2024-01,0,0,4,4,1,0,2,2,0,0,0,0,0,0,13
hyperledger/indy-vdr,2024-02,1,1,0,2,0,0,0,3,0,0,0,0,0,0,7
hyperledger/indy-vdr,2024-03,0,0,2,2,1,0,1,1,0,0,0,0,0,0,7
hyperledger/indy-vdr,2024-04,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-vdr,2024-05,3,2,1,1,3,0,0,0,0,0,0,0,0,0,10
hyperledger/indy-vdr,2024-06,3,6,8,10,7,0,0,1,0,0,0,0,0,0,35
hyperledger/indy-vdr,2024-07,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2024-09,1,0,3,1,1,0,0,0,0,0,0,0,0,0,6
hyperledger/indy-vdr,2025-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4
hyperledger/indy-vdr,2025-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2025-11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/agent-framework-javascript,2024-01,11,17,4,6,23,2,2,0,0,0,0,0,0,0,65
openwallet-foundation-labs/openid-federation-ts,2025-01,7,26,7,6,0,0,5,3,1,0,0,0,0,0,55
openwallet-foundation-labs/openid-federation-ts,2025-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/openid-federation-ts,2025-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/project-proposals,2024-12,9,12,0,3,6,0,0,0,0,1,0,0,0,0,31
openwallet-foundation/project-proposals,2025-01,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/project-proposals,2026-01,3,2,0,0,7,0,0,0,0,0,0,0,0,0,12
openwallet-foundation/askar,2024-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/askar,2024-12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/askar,2025-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/askar,2025-03,4,0,0,0,2,0,0,0,0,0,0,0,0,0,6
openwallet-foundation/askar,2025-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-09,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/askar,2025-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-12,2,1,1,5,2,5,0,3,0,0,0,0,0,0,19
openwallet-foundation/sd-jwt-js,2024-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/sd-jwt-js,2025-06,3,2,0,0,2,1,0,0,0,0,0,0,0,0,8
openwallet-foundation/sd-jwt-js,2025-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/sd-jwt-js,2025-11,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/sd-jwt-js,2025-12,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4
openwallet-foundation/sd-jwt-js,2026-01,1,2,0,6,2,0,0,0,0,0,0,0,0,0,11
openwallet-foundation/sd-jwt-js,2026-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/sd-jwt-js,2024-03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-js,2024-05,6,9,0,0,7,3,0,0,0,0,0,0,0,0,25
openwallet-foundation-labs/sd-jwt-js,2024-06,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/tac,2024-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/tac,2024-02,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4
openwallet-foundation/tac,2024-11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
openwallet-foundation/tac,2024-12,2,2,0,1,1,0,0,0,0,1,0,0,0,0,7
openwallet-foundation/tac,2025-01,0,0,0,0,5,4,0,0,0,0,0,0,0,0,9
hyperledger/aries-rfcs,2024-01,3,3,0,1,1,2,0,0,0,0,0,0,0,0,10
hyperledger/aries-rfcs,2024-02,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-rfcs,2024-03,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2024-04,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-rfcs,2024-05,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-rfcs,2024-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/identity-common-ts,2026-02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/identity-common-ts,2026-03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/identity-common-ts,2026-04,6,1,1,0,1,0,2,0,0,0,0,0,0,0,11
openwallet-foundation-labs/identity-common-ts,2026-05,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/anoncreds-wrapper-javascript,2025-03,2,1,3,3,0,0,0,2,0,0,0,0,0,0,11
hyperledger/anoncreds-wrapper-javascript,2025-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-wrapper-javascript,2025-10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
hyperledger/anoncreds-wrapper-javascript,2025-11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/bifold-wallet,2024-03,2,8,0,0,2,0,0,0,0,0,0,0,0,0,12
openwallet-foundation/bifold-wallet,2024-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/mdoc-ts,2026-02,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5
openwallet-foundation-labs/mdoc-ts,2026-03,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation-labs/mdoc-ts,2026-05,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/governance,2025-01,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4
openwallet-foundation-labs/governance,2025-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2026-02,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4
anoncreds/anoncreds-wrapper-javascript,2025-12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
anoncreds/anoncreds-wrapper-javascript,2026-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
anoncreds/anoncreds-wrapper-javascript,2026-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
anoncreds/anoncreds-wrapper-javascript,2026-03,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4
hyperledger/anoncreds-spec,2024-01,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5
hyperledger/anoncreds-spec,2024-02,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2024-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2024-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-06,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
openwallet-foundation-labs/expo-mdoc-data-transfer,2026-02,0,0,2,3,2,0,0,0,0,0,0,0,0,0,7
anoncreds/anoncreds-rs,2025-12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
anoncreds/anoncreds-rs,2026-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-clsignatures-rs,2024-01,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
hyperledger/aries,2024-02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/agent-javascript-docs,2024-01,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/governance,2024-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/governance,2025-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger/indy-sdk-react-native,2024-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
openwallet-foundation-labs/mdl-js,2024-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation-labs/mdl-js,2026-02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credential-format-comparison-sig,2024-04,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
anoncreds/anoncreds,2025-12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
credebl/platform,2024-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger-indy/governance,2026-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2024-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
