repo,month,PullRequestEvent,PushEvent,DeleteEvent,CreateEvent,IssueCommentEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,MemberEvent,GollumEvent,ForkEvent,DiscussionEvent,CommitCommentEvent,total
LF-Decentralized-Trust-labs/governance,2026-04,1,2,2,3,0,0,0,0,0,0,0,0,0,8
LF-Decentralized-Trust-labs/governance,2026-05,0,2,2,2,0,0,0,0,0,0,0,0,0,6
openwallet-foundation/governance,2024-03,5,7,1,4,0,1,0,0,0,0,0,0,0,18
openwallet-foundation/governance,2024-04,1,1,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/governance,2024-05,1,1,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/governance,2024-06,4,2,2,2,0,2,0,0,0,0,0,0,0,12
openwallet-foundation/governance,2024-08,0,0,1,0,1,1,0,0,0,0,0,0,0,3
openwallet-foundation/governance,2024-09,6,2,3,3,0,0,0,0,0,0,0,0,0,14
openwallet-foundation/governance,2024-10,13,11,5,5,5,3,0,1,0,0,0,0,0,43
openwallet-foundation/governance,2024-11,4,4,0,0,2,4,0,1,0,0,0,0,0,15
openwallet-foundation/governance,2024-12,3,1,0,0,0,3,0,0,0,0,0,0,0,7
openwallet-foundation/governance,2025-01,10,6,4,3,2,5,1,1,0,0,0,0,0,32
openwallet-foundation/governance,2025-02,1,1,0,0,0,1,0,0,0,0,0,0,0,3
openwallet-foundation/governance,2025-03,6,4,3,0,1,0,0,0,0,0,0,0,0,14
openwallet-foundation/governance,2025-04,4,2,0,0,0,5,0,0,0,0,0,0,0,11
openwallet-foundation/governance,2025-05,2,1,0,0,2,2,0,0,0,0,0,0,0,7
openwallet-foundation/governance,2025-06,2,0,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/governance,2025-07,1,2,0,0,0,1,0,0,0,0,0,0,0,4
openwallet-foundation/governance,2025-08,0,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/governance,2025-09,3,1,2,0,1,2,0,0,0,0,0,0,0,9
openwallet-foundation/governance,2025-10,3,4,1,1,0,2,0,0,0,0,0,0,0,11
openwallet-foundation/governance,2025-12,0,3,0,0,0,1,0,0,0,0,0,0,0,4
openwallet-foundation/governance,2026-01,0,2,1,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/governance,2026-02,1,1,1,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/governance,2026-05,1,1,0,1,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-sdk,2024-02,98,0,3,0,0,0,105,0,0,0,0,0,0,206
hiero-ledger/governance,2024-10,5,6,4,1,5,1,0,0,0,0,0,0,0,22
hiero-ledger/governance,2024-11,4,3,1,2,0,0,2,0,0,0,0,0,0,12
hiero-ledger/governance,2024-12,2,1,1,1,1,0,0,0,0,0,0,0,0,6
hiero-ledger/governance,2025-01,2,3,2,1,0,1,0,0,0,0,0,0,0,9
hiero-ledger/governance,2025-02,4,2,2,2,0,0,0,0,0,0,0,0,0,10
hiero-ledger/governance,2025-03,8,5,8,5,7,10,0,0,0,0,0,0,0,43
hiero-ledger/governance,2025-04,3,8,2,0,2,18,1,6,0,0,0,0,0,40
hiero-ledger/governance,2025-05,0,0,0,0,1,11,0,0,0,0,0,0,0,12
hiero-ledger/governance,2025-06,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-07,0,3,0,0,5,4,0,0,0,0,0,0,0,12
hiero-ledger/governance,2025-08,3,2,0,2,1,3,0,0,0,0,0,0,0,11
hiero-ledger/governance,2025-09,1,2,1,0,1,3,0,1,0,0,0,0,0,9
hiero-ledger/governance,2025-11,0,1,0,0,0,2,0,0,0,0,0,0,0,3
hiero-ledger/governance,2026-01,1,1,4,0,0,1,0,0,0,0,0,0,0,7
hiero-ledger/governance,2026-02,0,0,0,0,1,1,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-03,4,4,4,4,6,0,0,0,0,0,0,0,0,22
open-quantum-safe/tsc,2024-04,5,5,2,2,4,3,0,0,0,0,1,0,0,22
open-quantum-safe/tsc,2024-05,8,8,4,3,4,0,0,0,0,0,0,0,0,27
open-quantum-safe/tsc,2024-06,5,3,3,1,3,0,2,0,0,0,0,0,0,17
open-quantum-safe/tsc,2024-07,5,3,2,2,2,2,0,0,0,0,0,0,0,16
open-quantum-safe/tsc,2024-08,7,9,4,2,9,4,1,1,0,0,0,0,0,37
open-quantum-safe/tsc,2024-09,4,4,3,1,6,2,1,0,0,0,0,0,0,21
open-quantum-safe/tsc,2024-10,2,1,1,1,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2024-12,2,1,1,1,2,0,1,0,0,0,0,0,0,8
open-quantum-safe/tsc,2025-05,1,1,0,1,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/tsc,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2026-02,0,1,0,0,2,0,0,0,0,0,0,0,0,3
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2024-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2024-11,10,9,3,2,0,8,0,0,0,0,0,0,0,32
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-01,5,3,2,3,0,0,0,0,0,0,0,0,0,13
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-03,10,9,4,2,1,1,0,0,0,0,0,0,0,27
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-04,6,4,4,2,7,1,0,0,0,0,0,0,0,24
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-05,5,3,2,2,3,0,0,0,0,0,0,0,0,15
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-06,1,1,1,0,0,0,0,0,0,0,0,0,0,3
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-07,3,1,0,1,1,2,0,0,0,0,0,0,0,8
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-08,0,0,0,0,2,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-09,1,3,0,1,3,1,0,0,0,0,0,0,0,9
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-10,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2026-01,3,4,3,0,3,1,0,0,0,0,0,0,0,14
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2026-02,0,1,0,1,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2026-03,1,2,2,2,1,0,0,0,0,0,0,0,0,8
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2026-04,0,5,2,1,1,0,0,0,0,0,0,0,0,9
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2026-05,0,5,3,3,0,0,0,0,0,0,0,0,0,11
openwallet-foundation-labs/governance,2024-03,5,8,1,3,0,2,0,1,0,0,0,0,0,20
openwallet-foundation-labs/governance,2024-04,3,2,1,1,0,0,0,0,0,0,0,0,0,7
openwallet-foundation-labs/governance,2024-05,2,1,1,1,1,3,0,1,0,0,0,0,0,10
openwallet-foundation-labs/governance,2024-06,6,6,1,1,0,4,0,0,0,0,0,0,0,18
openwallet-foundation-labs/governance,2024-07,1,1,0,0,1,0,0,0,0,0,0,0,0,3
openwallet-foundation-labs/governance,2024-09,0,0,0,0,0,1,0,1,0,0,0,0,0,2
openwallet-foundation-labs/governance,2024-10,5,1,1,1,0,1,0,0,0,0,0,0,0,9
openwallet-foundation-labs/governance,2024-11,2,3,1,2,1,1,0,0,0,0,0,0,0,10
openwallet-foundation-labs/governance,2025-01,6,4,1,1,3,2,0,0,0,0,0,0,0,17
openwallet-foundation-labs/governance,2025-02,1,2,0,0,0,1,0,0,0,0,0,0,0,4
openwallet-foundation-labs/governance,2025-03,4,5,2,1,0,0,0,0,0,0,0,0,0,12
openwallet-foundation-labs/governance,2025-04,1,1,0,0,0,1,0,0,0,0,0,0,0,3
openwallet-foundation-labs/governance,2025-06,8,4,1,1,0,0,0,0,0,0,0,0,0,14
openwallet-foundation-labs/governance,2025-07,1,4,2,0,0,1,0,0,0,0,0,0,0,8
openwallet-foundation-labs/governance,2025-08,3,1,0,0,0,1,0,0,0,0,0,0,0,5
openwallet-foundation-labs/governance,2025-09,2,2,0,0,0,1,0,0,0,0,0,0,0,5
openwallet-foundation-labs/governance,2025-10,0,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-11,0,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2025-12,0,1,0,0,0,1,0,0,0,0,0,0,0,2
openwallet-foundation-labs/governance,2026-01,2,1,0,2,0,1,0,0,0,0,0,0,0,6
openwallet-foundation-labs/governance,2026-02,0,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2026-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PQCA/governance,2024-02,0,0,0,2,0,0,0,0,0,0,0,0,0,2
PQCA/governance,2024-03,5,5,2,2,3,1,0,0,0,0,0,0,0,18
PQCA/governance,2024-04,9,8,5,5,0,0,0,0,0,0,0,0,0,27
PQCA/governance,2024-06,2,2,0,0,0,0,0,0,0,0,0,0,0,4
PQCA/governance,2024-07,2,1,1,1,0,0,0,0,0,0,0,0,0,5
PQCA/governance,2024-10,5,3,3,3,0,0,0,0,0,0,0,0,0,14
PQCA/governance,2024-11,1,1,0,0,0,0,0,0,0,0,0,0,0,2
PQCA/governance,2025-01,2,1,1,1,0,0,0,0,0,0,0,0,0,5
PQCA/governance,2025-02,8,6,3,3,1,2,0,0,0,0,0,0,0,23
PQCA/governance,2025-03,1,1,0,0,0,0,0,0,0,0,0,0,0,2
PQCA/governance,2025-04,2,1,1,1,0,0,0,0,0,0,0,0,0,5
PQCA/governance,2025-05,10,5,3,4,0,0,0,0,0,0,0,0,0,22
PQCA/governance,2025-06,2,1,1,2,2,0,1,0,0,0,0,0,0,9
PQCA/governance,2025-07,0,1,0,2,0,0,0,0,0,0,0,0,0,3
PQCA/governance,2025-08,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PQCA/governance,2025-10,0,1,0,0,0,0,3,0,0,0,0,0,0,4
PQCA/governance,2025-11,0,0,1,1,1,0,0,0,0,0,0,0,0,3
PQCA/governance,2026-04,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PQCA/governance,2026-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/toc,2024-01,4,12,0,0,1,0,0,0,0,0,0,0,0,17
hyperledger/toc,2024-02,6,8,1,1,0,3,0,0,0,0,0,0,0,19
hyperledger/toc,2024-03,5,5,1,1,0,1,0,0,0,0,0,0,0,13
hyperledger/toc,2024-04,9,8,0,0,0,2,3,2,0,0,1,0,0,25
hyperledger/toc,2024-05,5,6,1,0,2,4,0,1,0,0,0,0,0,19
hyperledger/toc,2024-06,6,6,0,0,1,2,0,0,0,0,0,0,0,15
hyperledger/toc,2024-07,0,0,0,0,0,1,0,1,0,0,0,0,0,2
hyperledger/toc,2024-08,3,4,2,0,0,1,0,0,0,0,0,0,0,10
hyperledger/toc,2024-09,2,1,0,1,0,1,0,0,0,0,0,0,0,5
hyperledger/toc,2024-10,2,2,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/toc,2024-12,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-03,14,25,7,8,12,0,7,0,0,0,0,0,0,73
pq-code-package/tsc,2024-05,4,1,1,1,1,0,1,0,0,0,0,0,0,9
pq-code-package/tsc,2024-06,5,3,2,1,0,1,0,0,0,0,0,0,0,12
pq-code-package/tsc,2024-08,0,0,0,0,1,0,1,0,0,0,0,0,0,2
pq-code-package/tsc,2024-09,4,1,1,2,0,0,0,0,0,0,0,0,0,8
pq-code-package/tsc,2024-10,0,0,0,0,1,1,0,0,0,0,0,0,0,2
pq-code-package/tsc,2024-11,1,1,0,0,1,1,1,0,0,0,0,0,0,5
pq-code-package/tsc,2025-02,0,0,0,0,2,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2025-05,0,0,0,0,0,2,0,0,0,0,0,0,0,2
pq-code-package/tsc,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2025-08,0,0,0,1,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2025-09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2025-10,0,1,1,0,0,0,0,0,0,0,0,0,0,2
PQCA/TAC,2024-02,0,1,0,2,0,0,0,0,0,0,0,0,0,3
PQCA/TAC,2024-03,2,0,0,0,0,0,0,0,0,0,0,0,0,2
PQCA/TAC,2024-04,8,11,1,2,7,3,1,3,0,0,1,0,0,37
PQCA/TAC,2024-05,0,0,0,0,2,3,1,3,0,0,0,0,0,9
PQCA/TAC,2024-06,0,1,0,0,2,0,2,0,0,0,0,0,0,5
PQCA/TAC,2024-07,1,1,1,0,5,0,0,0,0,0,0,0,0,8
PQCA/TAC,2024-08,1,6,1,0,4,0,0,0,0,0,0,0,0,12
PQCA/TAC,2024-09,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PQCA/TAC,2024-11,1,1,0,0,0,1,0,0,0,0,0,0,0,3
PQCA/TAC,2025-02,0,1,0,0,1,0,2,0,0,0,0,0,0,4
PQCA/TAC,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-07,2,8,1,0,2,1,0,0,0,0,0,0,0,14
PQCA/TAC,2025-08,2,2,0,1,2,0,0,0,0,0,0,0,0,7
PQCA/TAC,2025-09,2,2,1,1,0,0,0,0,0,0,0,0,0,6
PQCA/TAC,2025-10,0,2,0,0,0,0,0,0,0,0,0,0,0,2
PQCA/TAC,2025-11,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-02,10,19,8,1,0,3,4,0,0,0,0,0,0,45
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-03,12,23,10,0,0,1,0,0,0,0,0,0,0,46
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-04,0,2,0,1,0,0,0,0,0,0,0,0,0,3
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-01,0,1,0,0,0,0,1,0,0,0,0,0,0,2
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-03,0,0,0,0,0,0,3,0,0,0,0,0,0,3
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-04,0,0,0,0,4,0,6,0,0,0,0,0,0,10
open-quantum-safe/liboqs,2024-03,2,0,1,1,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2024-04,0,0,0,0,3,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2024-05,4,1,0,0,15,0,0,0,0,0,0,0,0,20
open-quantum-safe/liboqs,2024-06,0,0,1,0,2,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2024-07,2,1,1,1,3,1,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2024-09,0,0,0,0,2,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2024-10,1,1,0,1,13,4,0,4,0,0,0,0,0,24
open-quantum-safe/liboqs,2024-11,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-02,0,0,0,0,4,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2025-04,0,0,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-07,0,0,0,0,8,0,0,0,0,0,0,0,0,8
open-quantum-safe/liboqs,2025-09,0,0,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-10,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/governance,2024-10,0,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger-identus/governance,2024-11,1,2,0,1,0,0,0,0,0,0,0,0,0,4
