repo,month,PushEvent,CreateEvent,PullRequestEvent,IssuesEvent,DeleteEvent,IssueCommentEvent,ReleaseEvent,total
hyperledger-labs/dancap,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabex,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fablo,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-builder-k8s,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-chaincode-ocaml,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-machine,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-operations-console,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-operator,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-opssc,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/go-perun,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/hlf-operator,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/karma-charity-platform,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/learning-tokens,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/minbft,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/minifabric,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/mosaique-decentralized-workflows,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/nft-auction,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/nft-community-footprint,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/orion-sdk-go,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-cosmwasm-backend,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-cosmwasm-contract,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-credential-payment,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-doc,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-eth-backend,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-eth-contracts,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/perun-proposals,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/private-data-objects,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/sunyar-fabric,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/university-course,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/weft,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/yui-corda-ibc,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/yui-docs,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/yui-fabric-ibc,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/yui-ibc-solidity,2022-08,0,0,0,1,0,0,0,1
hyperledger-labs/yui-relayer,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-acapy-controllers,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-agent-test-harness,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-askar,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-fabric-wrapper,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-framework-dotnet,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-framework-javascript,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-framework-javascript-ext,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-javascript-docs,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-mediator-service,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-mobile-agent-xamarin,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-mobile-test-harness,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-protocol-test-suite,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-rfcs,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-toolbox,2022-08,0,0,0,1,0,0,0,1
hyperledger/aries-vcx,2022-08,0,0,0,1,0,0,0,1
hyperledger/caliper-benchmarks,2022-08,0,0,0,1,0,0,0,1
hyperledger/fabric-chaincode-go,2022-08,0,0,0,1,0,0,0,1
hyperledger/fabric-config,2022-08,0,0,0,1,0,0,0,1
hyperledger/fabric-protos,2022-08,0,0,0,1,0,0,0,1
hyperledger/fabric-protos-go,2022-08,0,0,0,1,0,0,0,1
hyperledger/firefly-fir,2022-08,0,0,0,1,0,0,0,1
hyperledger/firefly-perf-cli,2022-08,0,0,0,1,0,0,0,1
hyperledger/indy-did-method,2022-08,0,0,0,1,0,0,0,1
hyperledger/indy-node-container,2022-08,0,0,0,1,0,0,0,1
hyperledger/indy-node-monitor,2022-08,0,0,0,1,0,0,0,1
hyperledger/indy-plenum,2022-08,0,0,0,1,0,0,0,1
hyperledger/indy-sdk-react-native,2022-08,0,0,0,1,0,0,0,1
hyperledger/indy-test-automation,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-2-docs,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-deploy,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-ed25519,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-ios,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-java,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-javascript,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-python,2022-08,0,0,0,1,0,0,0,1
hyperledger/iroha-tui-client,2022-08,0,0,0,1,0,0,0,1
hyperledger/ursa,2022-08,0,0,0,1,0,0,0,1
hyperledger/ursa-docs,2022-08,0,0,0,1,0,0,0,1
hyperledger/ursa-python,2022-08,0,0,0,1,0,0,0,1
hyperledger/ursa-rfcs,2022-08,0,0,0,1,0,0,0,1
openwallet-foundation/acapy,2025-07,0,0,0,0,0,0,1,1
