repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,ReleaseEvent,total
hyperledger/aries-cloudagent-python,2024-02,10,2,6,1,0,0,0,0,0,0,19
hyperledger/aries-cloudagent-python,2024-03,9,1,10,1,0,0,0,1,0,0,22
hyperledger/aries-cloudagent-python,2024-04,1,3,4,3,1,0,0,0,0,0,12
hyperledger/aries-cloudagent-python,2024-05,41,4,13,3,9,0,0,0,0,0,70
hyperledger/aries-cloudagent-python,2024-06,4,1,2,1,0,0,1,0,0,0,9
hyperledger/aries-cloudagent-python,2024-08,4,0,3,0,0,0,0,0,0,0,7
hyperledger/aries-cloudagent-python,2024-09,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-10,3,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-test-automation,2024-02,2,9,0,2,0,9,0,6,0,0,28
hyperledger/indy-test-automation,2024-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-test-automation,2024-05,6,7,1,1,0,0,3,0,0,0,18
hyperledger/indy-test-automation,2025-01,11,4,4,2,0,1,6,1,0,0,29
hyperledger/indy-test-automation,2025-04,0,2,1,1,0,0,0,0,0,0,4
hyperledger/indy-test-automation,2025-11,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-shared-gha,2024-02,0,5,0,7,0,12,0,8,0,3,35
hyperledger/indy-shared-gha,2024-04,1,4,2,8,0,6,0,3,0,4,28
hyperledger/indy-shared-gha,2024-05,0,1,1,1,0,0,0,0,0,0,3
hyperledger/indy-shared-gha,2024-06,0,1,1,1,0,0,0,1,0,0,4
hyperledger/indy-cli-rs,2024-02,9,1,0,0,0,0,1,0,0,0,11
hyperledger/indy-cli-rs,2024-03,7,7,2,5,0,0,2,0,0,0,23
hyperledger/indy-cli-rs,2024-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-cli-rs,2024-05,1,0,2,0,0,0,1,0,0,0,4
openwallet-foundation/acapy,2024-10,2,0,3,0,0,0,0,0,0,0,5
openwallet-foundation/acapy,2024-12,6,0,3,0,0,0,0,0,0,0,9
openwallet-foundation/acapy,2025-02,2,2,1,1,0,0,0,0,0,0,6
openwallet-foundation/acapy,2025-03,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-04,2,2,7,2,1,0,0,0,0,0,14
openwallet-foundation/acapy,2025-05,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-09,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-11,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-12,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugins,2024-02,0,2,0,1,0,0,0,0,0,0,3
hyperledger/aries-acapy-plugins,2024-03,1,0,0,0,0,0,1,0,0,0,2
hyperledger/aries-acapy-plugins,2024-04,3,1,6,0,6,0,0,0,0,0,16
hyperledger/aries-acapy-plugins,2024-05,5,1,7,1,1,0,0,0,0,0,15
hyperledger/aries-acapy-plugins,2024-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-node-monitor,2024-03,1,0,1,1,0,0,0,0,0,0,3
hyperledger/indy-node-monitor,2024-04,0,2,0,1,0,2,0,0,0,2,7
hyperledger/indy-node-monitor,2024-05,0,2,2,2,0,0,0,0,0,0,6
hyperledger/indy-node-monitor,2024-07,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node-monitor,2024-09,2,1,1,1,0,0,0,0,0,0,5
hyperledger/indy-node-monitor,2024-10,2,0,3,0,1,1,0,0,0,0,7
hyperledger/aries-endorser-service,2024-01,1,1,4,1,2,0,0,0,0,0,9
hyperledger/aries-endorser-service,2024-03,0,0,2,0,0,0,0,0,0,0,2
hyperledger/aries-endorser-service,2024-09,0,1,5,1,5,0,2,0,0,0,14
hyperledger/indy-vdr,2024-02,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-vdr,2024-03,0,0,1,1,0,0,0,1,0,0,3
hyperledger/indy-vdr,2024-04,0,1,1,1,0,0,0,1,0,0,4
hyperledger/indy-vdr,2024-05,2,0,1,0,0,0,0,0,0,0,3
hyperledger/indy-vdr,2025-02,1,0,0,0,0,0,1,0,0,0,2
hyperledger/indy-vdr,2025-03,0,0,3,1,3,0,0,0,0,0,7
hyperledger/aries-agent-test-harness,2024-01,0,1,3,1,1,0,2,0,0,0,8
hyperledger/aries-agent-test-harness,2024-02,1,2,1,1,0,0,0,0,0,0,5
hyperledger/aries-agent-test-harness,2024-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2024-08,0,0,2,1,1,0,0,0,0,0,4
hyperledger/aries-mediator-service,2024-01,0,1,1,1,0,0,0,0,0,0,3
hyperledger/aries-mediator-service,2024-02,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-mediator-service,2024-03,0,2,0,1,0,0,0,0,0,0,3
hyperledger/aries-mediator-service,2024-04,1,0,0,0,0,0,1,0,0,0,2
hyperledger/aries-mediator-service,2024-05,2,0,3,0,0,0,0,0,0,0,5
hyperledger/aries-mediator-service,2024-08,1,1,0,1,0,0,0,0,0,0,3
openwallet-foundation/helm-charts,2025-06,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/helm-charts,2025-08,0,0,10,0,0,0,0,0,0,0,10
openwallet-foundation/helm-charts,2025-09,0,0,2,0,0,0,0,0,0,0,2
openwallet-foundation/helm-charts,2025-12,0,0,3,0,1,0,0,0,0,0,4
hyperledger/aries-askar,2024-02,0,2,0,1,0,1,0,1,0,0,5
hyperledger/aries-askar,2024-03,0,1,1,1,0,0,0,1,0,0,4
hyperledger/aries-askar,2024-04,0,1,1,0,0,0,0,0,0,0,2
hyperledger/aries-askar,2024-05,1,0,1,0,0,0,0,0,0,0,2
hyperledger/aries-askar,2024-06,1,0,1,0,0,0,0,0,0,0,2
hyperledger/indy-did-method,2024-02,0,1,0,0,0,0,0,0,1,0,2
hyperledger/indy-did-method,2024-05,0,1,2,1,0,0,0,0,0,0,4
hyperledger/indy-did-method,2025-02,3,0,1,0,0,0,0,0,0,0,4
hyperledger/aries-rfcs,2024-05,0,1,2,1,0,0,0,0,0,0,4
hyperledger/aries-rfcs,2025-01,0,1,2,2,0,0,0,0,0,0,5
openwallet-foundation/acapy-endorser-service,2025-02,1,1,1,1,0,0,1,0,0,0,5
openwallet-foundation/acapy-endorser-service,2025-10,0,0,2,0,1,0,0,0,0,0,3
openwallet-foundation/governance,2024-10,0,0,2,0,2,0,0,0,0,0,4
openwallet-foundation/governance,2024-12,1,2,0,0,0,0,0,0,1,0,4
hyperledger/indy-node-container,2024-02,1,1,0,0,0,0,0,0,1,0,3
hyperledger/indy-node-container,2024-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-node-container,2025-02,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node-container,2025-04,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node-container,2025-08,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-socketdock,2024-02,0,3,1,1,0,0,0,0,1,0,6
hyperledger/indy-shared-rs,2024-02,1,2,1,1,0,0,0,0,0,0,5
hyperledger/indy-shared-rs,2024-04,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2024-02,2,2,0,0,0,0,0,0,1,0,5
openwallet-foundation/credo-ts,2024-05,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2024-02,3,1,0,0,0,0,0,0,1,0,5
openwallet-foundation/credo-ts-docs,2024-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/toc,2024-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/toc,2024-07,0,0,2,0,1,0,0,0,0,0,3
hyperledger/toc,2024-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-besu,2024-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-besu,2024-02,0,1,0,0,0,0,0,0,1,0,2
hyperledger/indy-besu,2024-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-bls-wrapper-python,2024-02,0,2,0,1,0,0,0,0,1,0,4
openwallet-foundation/credo-ts-ext,2024-02,2,1,0,0,0,0,0,0,0,0,3
openwallet-foundation/credo-ts-ext,2024-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/anoncreds-methods-registry,2024-08,2,0,0,0,0,0,1,0,0,0,3
hyperledger/aries-acapy-tools,2024-05,0,1,1,1,0,0,0,0,0,0,3
hyperledger/aries-akrida,2024-01,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-akrida,2024-04,1,0,1,0,0,0,0,0,0,0,2
hyperledger/aries-mobile-agent-react-native,2024-02,1,1,0,0,0,0,0,0,1,0,3
hyperledger/aries-mobile-test-harness,2024-02,0,2,0,1,0,0,0,0,0,0,3
openwallet-foundation/didcomm-mediator-socketdock,2025-01,1,0,1,0,1,0,0,0,0,0,3
LF-Decentralized-Trust/governance,2024-11,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger/anoncreds-clsignatures-rs,2024-05,0,0,1,0,0,0,0,0,1,0,2
hyperledger/anoncreds-v2-rs,2024-05,1,0,1,0,0,0,0,0,0,0,2
hyperledger/aries-bbssignatures-rs,2024-05,0,0,1,0,0,0,0,0,1,0,2
hyperledger/governance,2024-06,0,0,1,0,0,0,0,0,0,0,1
hyperledger/governance,2024-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-blssignatures-rs,2024-02,0,1,0,0,0,0,0,0,1,0,2
openwallet-foundation/acapy-vc-authn-oidc,2025-08,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-vc-authn-oidc,2025-11,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/mobile-wallet-test-harness,2024-05,1,0,1,0,0,0,0,0,0,0,2
hyperledger/aries-acapy-controllers,2024-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-builder-images,2024-06,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-vcx,2024-05,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy,2024-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-did-networks,2024-11,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2024-05,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-plugins,2025-07,0,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/askar,2024-12,0,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/owl-agent-test-harness,2025-04,0,1,0,0,0,0,0,0,0,0,1
