repo,month,PullRequestEvent,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,DeleteEvent,GollumEvent,total
hyperledger/fabric-chaincode-java,2022-03,2,0,2,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2022-05,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2022-06,0,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2022-07,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2022-09,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2022-10,2,0,2,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-java,2022-12,1,0,1,5,4,0,0,0,0,0,0,0,11
hyperledger/fabric-chaincode-java,2023-01,4,0,4,14,3,0,0,0,0,0,0,0,25
hyperledger/fabric-chaincode-node,2019-03,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-chaincode-node,2019-11,10,2,0,0,0,0,0,0,0,0,0,0,12
hyperledger/fabric-chaincode-node,2019-12,2,0,0,0,3,0,0,0,0,0,0,0,5
hyperledger/fabric-chaincode-node,2020-01,21,2,0,0,2,0,0,0,0,0,0,0,25
hyperledger/fabric-chaincode-node,2020-02,8,0,0,0,0,0,0,0,0,0,0,0,8
hyperledger/fabric-chaincode-node,2020-03,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-node,2020-04,12,1,0,0,4,0,0,0,0,0,0,0,17
hyperledger/fabric-chaincode-node,2020-05,2,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2020-06,7,1,2,0,3,0,0,0,0,0,0,0,13
hyperledger/fabric-chaincode-node,2020-07,12,2,6,0,2,0,0,0,0,0,0,0,22
hyperledger/fabric-chaincode-node,2020-09,2,0,2,10,0,0,0,0,0,0,0,0,14
hyperledger/fabric-chaincode-node,2020-11,24,1,9,2,0,0,3,2,0,0,0,0,41
hyperledger/fabric-chaincode-node,2020-12,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2021-03,6,0,5,12,1,0,0,0,0,0,0,0,24
hyperledger/fabric-chaincode-node,2021-07,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2021-08,2,0,2,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-node,2021-11,6,1,6,15,3,1,0,0,0,0,0,0,32
hyperledger/fabric-chaincode-node,2022-02,0,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-node,2022-03,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-node,2022-04,6,1,3,3,0,1,2,2,0,0,1,0,19
hyperledger/fabric-chaincode-node,2022-05,6,0,3,4,2,1,2,2,0,0,1,0,21
hyperledger/fabric-chaincode-node,2022-07,4,1,2,7,3,0,1,0,0,0,0,0,18
hyperledger/fabric-chaincode-node,2022-08,0,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-node,2022-09,1,1,1,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-node,2022-12,1,0,1,3,1,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-node,2023-01,6,1,4,8,0,0,0,0,0,0,0,0,19
hyperledger/fabric-chaincode-node,2023-02,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2018-11,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-samples,2020-03,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2020-06,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2020-07,2,0,0,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2021-06,0,0,0,4,1,0,0,0,0,0,0,0,5
hyperledger/fabric-samples,2021-07,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2021-11,2,1,0,16,16,1,0,0,0,0,0,0,36
hyperledger/fabric-samples,2021-12,1,3,0,14,14,1,0,0,0,0,0,0,33
hyperledger/fabric-samples,2022-01,2,0,0,1,1,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2022-02,2,1,0,3,0,1,0,0,0,0,0,0,7
hyperledger/fabric-samples,2022-03,1,2,0,8,7,0,0,0,0,0,0,0,18
hyperledger/fabric-samples,2022-04,0,1,0,8,4,0,0,0,0,0,0,0,13
hyperledger/fabric-samples,2022-05,0,0,0,9,8,0,0,0,0,0,0,0,17
hyperledger/fabric-samples,2022-06,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2022-08,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2022-09,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2022-10,1,2,0,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2022-11,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2023-03,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-samples,2023-05,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2024-04,1,0,0,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-samples,2024-05,1,0,0,1,1,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2019-08,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-protos,2021-01,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2021-03,3,0,0,1,1,0,0,0,0,0,0,0,5
hyperledger/fabric-protos,2021-11,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2022-01,0,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-protos,2022-03,3,5,0,1,1,0,0,0,0,0,0,0,10
hyperledger/fabric-protos,2022-04,2,1,0,0,0,1,0,0,0,0,0,0,4
hyperledger/fabric-protos,2022-05,10,2,0,0,0,0,0,0,0,0,0,0,12
hyperledger/fabric-protos,2022-06,12,1,0,4,0,2,3,2,0,0,0,0,24
hyperledger/fabric-protos,2022-07,0,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-protos,2022-08,0,0,0,3,1,1,0,0,0,0,0,0,5
hyperledger/fabric-protos,2022-09,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2022-10,2,6,0,2,0,1,0,0,0,0,0,0,11
hyperledger/fabric-protos,2022-11,15,5,1,2,0,4,3,3,0,0,0,0,33
hyperledger/fabric-protos,2022-12,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2023-04,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2023-06,0,0,0,3,2,0,0,0,0,0,0,0,5
hyperledger/fabric-protos,2023-10,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-01,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2024-04,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2024-05,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2024-06,3,10,0,0,0,0,0,0,0,0,0,0,13
hyperledger/fabric-protos,2024-07,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-08,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-09,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-12,0,0,0,4,4,0,0,0,0,0,0,0,8
hyperledger/fabric-protos,2025-02,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2025-04,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2019-08,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric,2020-01,3,2,0,0,2,0,0,0,0,0,0,0,7
hyperledger/fabric,2020-06,0,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric,2021-01,1,0,0,2,2,0,0,0,0,0,0,0,5
hyperledger/fabric,2021-02,1,2,0,6,6,0,0,0,0,0,0,0,15
hyperledger/fabric,2021-03,1,5,0,1,1,0,0,0,0,0,0,0,8
hyperledger/fabric,2021-06,4,1,0,1,1,0,0,0,0,0,0,0,7
hyperledger/fabric,2021-07,0,1,0,3,0,0,0,0,0,0,0,0,4
hyperledger/fabric,2021-10,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2021-12,0,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2022-03,2,1,0,1,0,1,0,0,0,0,0,0,5
hyperledger/fabric,2022-04,0,0,0,3,1,0,0,0,0,0,0,0,4
hyperledger/fabric,2022-05,1,5,0,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric,2022-06,2,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2022-07,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2022-09,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2022-10,2,3,0,4,3,0,0,0,0,0,0,0,12
hyperledger/fabric,2022-11,6,1,0,4,2,1,0,0,0,0,0,0,14
hyperledger/fabric,2022-12,5,1,0,3,3,1,0,0,0,0,0,0,13
hyperledger/fabric,2023-01,9,5,2,4,4,0,1,0,0,0,0,0,25
hyperledger/fabric,2023-07,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-01,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-04,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-09,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-05,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-11,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2026-01,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2020-04,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2020-09,0,1,0,1,0,0,0,0,0,1,0,0,3
hyperledger/fabric-contract-api-go,2020-10,7,2,4,2,0,0,1,1,0,0,0,0,17
hyperledger/fabric-contract-api-go,2020-11,2,1,1,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-contract-api-go,2020-12,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2021-11,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2021-12,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2022-02,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2022-03,1,1,0,2,0,0,0,0,0,0,0,0,4
hyperledger/fabric-contract-api-go,2022-07,6,4,4,10,3,1,0,0,0,0,0,0,28
hyperledger/fabric-contract-api-go,2022-09,8,7,3,0,0,4,1,1,0,0,0,0,24
hyperledger/fabric-contract-api-go,2022-10,2,0,2,1,0,0,0,0,0,0,1,0,6
hyperledger/fabric-contract-api-go,2022-12,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-contract-api-go,2023-04,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2023-09,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway,2020-12,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-gateway,2021-01,3,1,0,0,0,0,0,0,0,1,0,0,5
hyperledger/fabric-gateway,2021-03,26,1,0,7,2,0,0,0,0,0,0,0,36
hyperledger/fabric-gateway,2021-04,11,0,0,0,0,0,0,0,0,0,0,0,11
hyperledger/fabric-gateway,2021-05,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-gateway,2021-07,2,0,0,1,1,0,0,0,0,0,0,0,4
hyperledger/fabric-gateway,2021-08,3,1,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-gateway,2021-09,1,0,0,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-gateway,2021-11,19,5,0,1,1,0,0,0,0,0,0,0,26
hyperledger/fabric-gateway,2021-12,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway,2022-01,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway,2022-02,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway,2022-04,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2019-08,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-protos-go,2021-11,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2022-11,2,4,4,0,0,2,3,0,0,0,0,0,15
hyperledger/fabric-protos-go,2023-03,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos-go,2023-08,0,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-protos-go,2023-09,0,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-protos-go,2023-12,0,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-01,0,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-04,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2024-06,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-09,0,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-12,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2025-01,0,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-protos-go,2025-02,0,0,2,0,0,0,2,0,0,0,0,0,4
hyperledger/fabric-protos-go,2025-03,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2025-04,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2022-05,0,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2022-06,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2022-11,0,0,4,0,0,0,2,0,0,0,0,0,6
hyperledger/fabric-protos-go-apiv2,2023-03,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2023-08,0,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-protos-go-apiv2,2023-09,0,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-protos-go-apiv2,2023-12,0,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-protos-go-apiv2,2024-01,0,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2024-09,0,0,2,0,0,0,2,0,0,0,0,0,4
hyperledger/fabric-protos-go-apiv2,2024-12,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2025-01,0,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-protos-go-apiv2,2025-02,0,0,2,0,0,0,2,0,0,0,0,0,4
hyperledger/fabric-protos-go-apiv2,2025-03,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2025-04,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/composer-tools,2017-06,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/composer-tools,2018-05,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/composer-tools,2018-09,4,1,2,0,0,1,0,0,0,0,0,0,8
hyperledger/composer-tools,2018-10,7,2,3,0,0,1,2,1,0,0,0,0,16
hyperledger/fabric-test,2020-09,2,0,0,0,0,0,0,0,0,1,0,0,3
hyperledger/fabric-test,2020-10,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-test,2021-05,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-test,2021-09,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-test,2022-03,0,0,0,3,5,0,0,0,0,0,0,0,8
hyperledger/fabric-test,2022-07,2,0,0,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-test,2022-09,5,0,0,1,1,0,0,0,0,0,0,0,7
hyperledger/composer-sample-networks,2017-06,7,2,5,0,1,0,2,0,0,1,0,0,18
hyperledger/fabric-rfcs,2020-01,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-rfcs,2020-10,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2021-01,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2021-03,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2021-11,0,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger/fabric-rfcs,2022-11,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2022-12,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2023-11,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-05,0,0,0,1,1,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2026-01,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2026-02,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-go,2022-01,2,0,0,0,0,0,0,0,0,1,0,0,3
hyperledger/fabric-chaincode-go,2022-07,2,1,0,2,1,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-go,2022-09,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-go,2023-04,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-go,2024-01,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/microfab,2023-05,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-01,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-05,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-06,0,1,0,2,2,0,0,0,0,0,0,0,5
hyperledger-labs/fabric-operator,2022-06,0,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2024-03,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/hyperledger-labs.github.io,2022-07,1,3,0,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/hyperledger-labs.github.io,2022-12,0,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2024-11,0,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-08,0,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-10,0,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-11,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/composer-sample-models,2017-06,2,0,1,0,0,0,0,0,0,1,0,0,4
hyperledger/fabric-gateway-java,2021-04,3,0,0,0,0,0,0,0,0,1,0,0,4
