repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,GollumEvent,ReleaseEvent,ForkEvent,total
hyperledger/besu,2026-02,2,3,1,2,0,1,0,0,0,0,0,9
LFDT-Paladin/paladin,2025-11,16,0,10,4,5,3,1,0,0,0,0,39
LFDT-Paladin/paladin,2025-12,10,5,2,9,35,23,5,1,1,0,0,91
LFDT-Paladin/paladin,2026-01,9,1,11,2,25,3,2,1,0,0,0,54
LFDT-Paladin/paladin,2026-02,19,1,13,0,9,1,0,4,0,0,0,47
LFDT-Paladin/paladin,2026-03,4,1,1,1,32,0,7,3,0,0,0,49
LFDT-Paladin/paladin,2026-04,2,0,5,1,11,1,1,1,0,0,0,22
LFDT-Paladin/paladin,2026-05,0,0,0,1,4,0,1,0,0,0,0,6
LF-Decentralized-Trust-labs/paladin,2025-06,3,1,2,4,2,1,0,0,4,0,0,17
LF-Decentralized-Trust-labs/paladin,2025-07,10,2,9,2,1,0,0,0,0,0,0,24
LF-Decentralized-Trust-labs/paladin,2025-08,5,2,2,1,0,2,0,0,0,0,0,12
LF-Decentralized-Trust-labs/paladin,2025-09,10,3,23,2,0,0,0,0,0,0,0,38
LF-Decentralized-Trust-labs/paladin,2025-10,3,1,1,2,1,4,1,0,0,0,0,13
hyperledger/firefly-evmconnect,2024-01,0,1,0,2,0,0,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2024-02,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2024-04,1,0,1,14,0,1,6,4,0,0,0,27
hyperledger/firefly-evmconnect,2024-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2024-06,2,0,0,3,3,0,0,0,0,0,0,8
hyperledger/firefly-evmconnect,2024-08,3,2,2,5,1,0,5,2,0,0,0,20
hyperledger/firefly-evmconnect,2024-09,2,3,2,5,3,0,3,0,0,3,0,21
hyperledger/firefly-evmconnect,2024-12,1,0,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly-evmconnect,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2025-04,0,0,0,2,1,0,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2025-08,1,0,3,0,0,0,0,0,0,0,0,4
LF-Decentralized-Trust/governance,2024-10,0,0,0,0,0,1,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-02,4,1,1,0,0,0,0,0,0,0,0,6
LF-Decentralized-Trust/governance,2025-03,0,1,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-04,4,2,1,0,0,0,0,0,0,0,0,7
LF-Decentralized-Trust/governance,2025-05,3,0,1,0,0,0,0,0,0,0,0,4
LF-Decentralized-Trust/governance,2025-06,5,0,1,0,0,0,0,0,0,0,0,6
LF-Decentralized-Trust/governance,2025-07,1,0,0,0,1,0,0,0,1,0,0,3
LF-Decentralized-Trust/governance,2025-08,1,0,1,0,2,0,0,0,2,0,0,6
LF-Decentralized-Trust/governance,2025-09,1,0,0,0,2,0,0,0,2,0,0,5
LF-Decentralized-Trust/governance,2025-10,2,0,0,0,0,0,0,0,1,0,0,3
LF-Decentralized-Trust/governance,2025-11,1,1,0,0,1,0,0,0,0,0,0,3
LF-Decentralized-Trust/governance,2026-02,1,1,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2026-04,0,0,0,0,2,0,2,0,0,0,0,4
hyperledger/firefly,2024-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2024-04,0,8,0,2,0,1,0,0,0,0,0,11
hyperledger/firefly,2024-08,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2024-09,4,5,4,7,0,3,0,0,0,0,0,23
hyperledger/firefly,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2025-03,0,0,1,0,0,1,0,0,0,0,0,2
hyperledger/besu-docs,2024-03,3,2,1,0,0,0,0,0,0,0,0,6
hyperledger/besu-docs,2024-04,0,1,0,0,0,3,0,0,0,0,0,4
hyperledger/besu-docs,2024-06,0,1,0,2,4,0,1,0,0,0,0,8
hyperledger/besu-docs,2025-07,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/firefly-transaction-manager,2024-09,1,2,1,4,1,2,1,0,0,1,0,13
hyperledger/firefly-transaction-manager,2024-12,1,0,0,1,1,0,0,0,0,0,0,3
hyperledger/firefly-transaction-manager,2025-07,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger/firefly-transaction-manager,2025-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc1155,2024-08,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc1155,2024-09,0,1,0,5,0,0,0,0,0,0,0,6
hyperledger/firefly-tokens-erc1155,2024-11,0,0,0,1,0,0,0,0,0,0,0,1
besu-eth/governance,2025-03,1,0,0,2,1,0,1,1,0,0,0,6
hyperledger/firefly-signer,2024-08,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly-signer,2024-09,0,0,0,3,0,0,0,0,0,0,0,3
LF-Decentralized-Trust/project-proposals,2025-11,0,2,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/project-proposals,2026-04,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/governance,2024-10,0,1,0,0,0,2,0,0,0,0,0,3
hyperledger/governance,2025-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-cli,2024-09,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly-cli,2024-10,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2024-08,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/firefly-common,2024-09,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-ui,2024-09,1,0,1,1,0,0,0,0,0,0,0,3
LFDT-Paladin/.github,2025-11,0,0,0,0,0,0,1,0,0,0,0,1
LFDT-Paladin/.github,2025-12,1,0,0,0,0,0,0,0,0,0,0,1
besu-eth/besu,2026-04,0,0,0,1,1,0,0,0,0,0,0,2
hyperledger/firefly-fabconnect,2024-09,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-fabconnect,2025-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-tezosconnect,2024-09,0,0,0,1,0,0,0,0,0,0,1,2
hyperledger/firefly-tokens-erc20-erc721,2024-08,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc20-erc721,2024-11,0,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-03,0,0,0,0,0,1,0,0,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
LFDT-Paladin/zeto,2025-11,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-ethconnect,2024-09,0,0,0,1,0,0,0,0,0,0,0,1
